"tensor(3.8120, device='cuda:0')","tensor(-3.2156, device='cuda:0')","tensor(0.6057, device='cuda:0')"
"tensor(4.7367, device='cuda:0')","tensor(-3.5504, device='cuda:0')","tensor(0.2885, device='cuda:0')"
"tensor(4.8128, device='cuda:0')","tensor(-4.5192, device='cuda:0')","tensor(0.9523, device='cuda:0')"
"tensor(3.6169, device='cuda:0')","tensor(-2.9984, device='cuda:0')","tensor(0.5351, device='cuda:0')"
"tensor(3.9531, device='cuda:0')","tensor(-3.2234, device='cuda:0')","tensor(0.4922, device='cuda:0')"
"tensor(4.4886, device='cuda:0')","tensor(-3.8504, device='cuda:0')","tensor(0.4700, device='cuda:0')"
"tensor(5.0975, device='cuda:0')","tensor(-4.2753, device='cuda:0')","tensor(0.5394, device='cuda:0')"
"tensor(3.2888, device='cuda:0')","tensor(-3.5315, device='cuda:0')","tensor(1.2940, device='cuda:0')"
"tensor(3.8651, device='cuda:0')","tensor(-3.5272, device='cuda:0')","tensor(0.9841, device='cuda:0')"
"tensor(5.0497, device='cuda:0')","tensor(-4.8294, device='cuda:0')","tensor(1.3181, device='cuda:0')"
"tensor(-0.1875, device='cuda:0')","tensor(-0.9673, device='cuda:0')","tensor(0.9053, device='cuda:0')"
"tensor(3.0059, device='cuda:0')","tensor(-4.2107, device='cuda:0')","tensor(1.9698, device='cuda:0')"
"tensor(4.0069, device='cuda:0')","tensor(-3.0325, device='cuda:0')","tensor(0.4191, device='cuda:0')"
"tensor(4.7936, device='cuda:0')","tensor(-4.7867, device='cuda:0')","tensor(1.0705, device='cuda:0')"
"tensor(2.8022, device='cuda:0')","tensor(-3.0406, device='cuda:0')","tensor(1.3324, device='cuda:0')"
"tensor(3.0072, device='cuda:0')","tensor(-3.0680, device='cuda:0')","tensor(0.8488, device='cuda:0')"
"tensor(2.5064, device='cuda:0')","tensor(-3.1644, device='cuda:0')","tensor(1.2966, device='cuda:0')"
"tensor(2.6796, device='cuda:0')","tensor(-1.7324, device='cuda:0')","tensor(-0.1816, device='cuda:0')"
"tensor(3.9248, device='cuda:0')","tensor(-3.6155, device='cuda:0')","tensor(0.9480, device='cuda:0')"
"tensor(2.5459, device='cuda:0')","tensor(-1.7383, device='cuda:0')","tensor(-0.0470, device='cuda:0')"
"tensor(2.1778, device='cuda:0')","tensor(-1.8945, device='cuda:0')","tensor(0.4725, device='cuda:0')"
"tensor(3.3359, device='cuda:0')","tensor(-2.5175, device='cuda:0')","tensor(0.1237, device='cuda:0')"
"tensor(4.4084, device='cuda:0')","tensor(-3.9674, device='cuda:0')","tensor(1.1489, device='cuda:0')"
"tensor(3.6252, device='cuda:0')","tensor(-4.1908, device='cuda:0')","tensor(1.5454, device='cuda:0')"
"tensor(4.7746, device='cuda:0')","tensor(-3.2772, device='cuda:0')","tensor(-0.0492, device='cuda:0')"
"tensor(3.4033, device='cuda:0')","tensor(-3.5833, device='cuda:0')","tensor(1.2599, device='cuda:0')"
"tensor(2.9659, device='cuda:0')","tensor(-3.2821, device='cuda:0')","tensor(0.9234, device='cuda:0')"
"tensor(4.9696, device='cuda:0')","tensor(-3.2928, device='cuda:0')","tensor(-0.0353, device='cuda:0')"
"tensor(3.5879, device='cuda:0')","tensor(-3.7398, device='cuda:0')","tensor(1.2456, device='cuda:0')"
"tensor(4.2609, device='cuda:0')","tensor(-3.5410, device='cuda:0')","tensor(0.4754, device='cuda:0')"
"tensor(3.6423, device='cuda:0')","tensor(-3.3873, device='cuda:0')","tensor(0.6295, device='cuda:0')"
"tensor(3.7292, device='cuda:0')","tensor(-4.1007, device='cuda:0')","tensor(1.2541, device='cuda:0')"
"tensor(3.1180, device='cuda:0')","tensor(-3.1414, device='cuda:0')","tensor(1.1425, device='cuda:0')"
"tensor(3.2844, device='cuda:0')","tensor(-0.6922, device='cuda:0')","tensor(-1.4316, device='cuda:0')"
"tensor(2.5257, device='cuda:0')","tensor(-3.2396, device='cuda:0')","tensor(1.5495, device='cuda:0')"
"tensor(2.1405, device='cuda:0')","tensor(-3.1097, device='cuda:0')","tensor(1.6694, device='cuda:0')"
"tensor(3.7747, device='cuda:0')","tensor(-3.0370, device='cuda:0')","tensor(0.1494, device='cuda:0')"
"tensor(3.8424, device='cuda:0')","tensor(-3.4184, device='cuda:0')","tensor(0.9037, device='cuda:0')"
"tensor(5.1674, device='cuda:0')","tensor(-4.6219, device='cuda:0')","tensor(0.7093, device='cuda:0')"
"tensor(4.9553, device='cuda:0')","tensor(-4.0491, device='cuda:0')","tensor(0.5588, device='cuda:0')"
"tensor(4.2266, device='cuda:0')","tensor(-3.2347, device='cuda:0')","tensor(0.5318, device='cuda:0')"
"tensor(2.1534, device='cuda:0')","tensor(-2.3614, device='cuda:0')","tensor(1.0348, device='cuda:0')"
"tensor(3.5419, device='cuda:0')","tensor(-2.5863, device='cuda:0')","tensor(0.4073, device='cuda:0')"
"tensor(1.4483, device='cuda:0')","tensor(-0.4940, device='cuda:0')","tensor(-0.6828, device='cuda:0')"
"tensor(4.4345, device='cuda:0')","tensor(-3.0642, device='cuda:0')","tensor(0.0139, device='cuda:0')"
"tensor(3.4119, device='cuda:0')","tensor(-3.9658, device='cuda:0')","tensor(1.6005, device='cuda:0')"
"tensor(3.2155, device='cuda:0')","tensor(-3.9509, device='cuda:0')","tensor(1.6606, device='cuda:0')"
"tensor(3.5119, device='cuda:0')","tensor(-3.3006, device='cuda:0')","tensor(0.7770, device='cuda:0')"
"tensor(3.5820, device='cuda:0')","tensor(-3.4302, device='cuda:0')","tensor(0.8404, device='cuda:0')"
"tensor(3.4732, device='cuda:0')","tensor(-2.9687, device='cuda:0')","tensor(0.7090, device='cuda:0')"
"tensor(3.0767, device='cuda:0')","tensor(-2.6179, device='cuda:0')","tensor(0.7118, device='cuda:0')"
"tensor(4.2047, device='cuda:0')","tensor(-2.7843, device='cuda:0')","tensor(0.0676, device='cuda:0')"
"tensor(5.6414, device='cuda:0')","tensor(-3.5258, device='cuda:0')","tensor(-0.2597, device='cuda:0')"
"tensor(4.4232, device='cuda:0')","tensor(-4.2083, device='cuda:0')","tensor(1.0192, device='cuda:0')"
"tensor(2.3256, device='cuda:0')","tensor(-0.6123, device='cuda:0')","tensor(-1.1307, device='cuda:0')"
"tensor(4.2294, device='cuda:0')","tensor(-3.3596, device='cuda:0')","tensor(0.2631, device='cuda:0')"
"tensor(0.9795, device='cuda:0')","tensor(-1.2910, device='cuda:0')","tensor(0.5044, device='cuda:0')"
"tensor(1.9012, device='cuda:0')","tensor(-2.6740, device='cuda:0')","tensor(1.3589, device='cuda:0')"
"tensor(4.2370, device='cuda:0')","tensor(-4.2236, device='cuda:0')","tensor(1.1315, device='cuda:0')"
"tensor(4.2974, device='cuda:0')","tensor(-3.5344, device='cuda:0')","tensor(0.7287, device='cuda:0')"
"tensor(4.3052, device='cuda:0')","tensor(-3.4796, device='cuda:0')","tensor(0.2262, device='cuda:0')"
"tensor(2.7354, device='cuda:0')","tensor(-1.8317, device='cuda:0')","tensor(0.1624, device='cuda:0')"
"tensor(4.2285, device='cuda:0')","tensor(-3.3436, device='cuda:0')","tensor(0.2207, device='cuda:0')"
"tensor(4.2678, device='cuda:0')","tensor(-2.6339, device='cuda:0')","tensor(-0.2651, device='cuda:0')"
"tensor(4.5925, device='cuda:0')","tensor(-4.0280, device='cuda:0')","tensor(0.5747, device='cuda:0')"
"tensor(3.7485, device='cuda:0')","tensor(-4.4726, device='cuda:0')","tensor(1.7616, device='cuda:0')"
"tensor(5.4086, device='cuda:0')","tensor(-3.1260, device='cuda:0')","tensor(-0.4595, device='cuda:0')"
"tensor(3.1094, device='cuda:0')","tensor(-2.9833, device='cuda:0')","tensor(0.9894, device='cuda:0')"
"tensor(4.9622, device='cuda:0')","tensor(-3.0531, device='cuda:0')","tensor(-0.0432, device='cuda:0')"
"tensor(3.0004, device='cuda:0')","tensor(-2.7897, device='cuda:0')","tensor(0.7464, device='cuda:0')"
"tensor(5.7679, device='cuda:0')","tensor(-3.6506, device='cuda:0')","tensor(-0.4047, device='cuda:0')"
"tensor(2.2134, device='cuda:0')","tensor(-0.8310, device='cuda:0')","tensor(-0.6033, device='cuda:0')"
"tensor(4.3246, device='cuda:0')","tensor(-4.2423, device='cuda:0')","tensor(1.2974, device='cuda:0')"
"tensor(4.4367, device='cuda:0')","tensor(-3.6268, device='cuda:0')","tensor(0.3260, device='cuda:0')"
"tensor(3.0530, device='cuda:0')","tensor(-2.9258, device='cuda:0')","tensor(0.9637, device='cuda:0')"
"tensor(4.2401, device='cuda:0')","tensor(-3.3417, device='cuda:0')","tensor(0.6508, device='cuda:0')"
"tensor(3.1357, device='cuda:0')","tensor(-2.8060, device='cuda:0')","tensor(0.7722, device='cuda:0')"
"tensor(4.5102, device='cuda:0')","tensor(-3.6330, device='cuda:0')","tensor(0.4788, device='cuda:0')"
"tensor(2.2113, device='cuda:0')","tensor(-3.5495, device='cuda:0')","tensor(1.9755, device='cuda:0')"
"tensor(3.4387, device='cuda:0')","tensor(-2.7284, device='cuda:0')","tensor(0.5798, device='cuda:0')"
"tensor(3.7885, device='cuda:0')","tensor(-3.7501, device='cuda:0')","tensor(1.1027, device='cuda:0')"
"tensor(3.1513, device='cuda:0')","tensor(-2.6579, device='cuda:0')","tensor(0.7474, device='cuda:0')"
"tensor(3.2912, device='cuda:0')","tensor(-3.1412, device='cuda:0')","tensor(0.8238, device='cuda:0')"
"tensor(2.7271, device='cuda:0')","tensor(-3.4516, device='cuda:0')","tensor(1.2424, device='cuda:0')"
"tensor(4.0265, device='cuda:0')","tensor(-2.2547, device='cuda:0')","tensor(-0.3026, device='cuda:0')"
"tensor(3.6646, device='cuda:0')","tensor(-3.1588, device='cuda:0')","tensor(0.7493, device='cuda:0')"
"tensor(0.5469, device='cuda:0')","tensor(-0.7939, device='cuda:0')","tensor(0.2807, device='cuda:0')"
"tensor(4.2649, device='cuda:0')","tensor(-3.2064, device='cuda:0')","tensor(0.2794, device='cuda:0')"
"tensor(3.0841, device='cuda:0')","tensor(-3.1272, device='cuda:0')","tensor(0.8489, device='cuda:0')"
"tensor(4.3931, device='cuda:0')","tensor(-3.5742, device='cuda:0')","tensor(0.6295, device='cuda:0')"
"tensor(3.6585, device='cuda:0')","tensor(-3.0793, device='cuda:0')","tensor(0.7923, device='cuda:0')"
"tensor(3.7866, device='cuda:0')","tensor(-3.3525, device='cuda:0')","tensor(0.8953, device='cuda:0')"
"tensor(4.2069, device='cuda:0')","tensor(-4.0302, device='cuda:0')","tensor(0.9611, device='cuda:0')"
"tensor(4.4087, device='cuda:0')","tensor(-3.9688, device='cuda:0')","tensor(0.7598, device='cuda:0')"
"tensor(2.5637, device='cuda:0')","tensor(-1.2233, device='cuda:0')","tensor(-0.3848, device='cuda:0')"
"tensor(2.9502, device='cuda:0')","tensor(-3.2353, device='cuda:0')","tensor(1.2310, device='cuda:0')"
"tensor(1.0102, device='cuda:0')","tensor(0.4083, device='cuda:0')","tensor(-0.9392, device='cuda:0')"
"tensor(3.3443, device='cuda:0')","tensor(-3.5525, device='cuda:0')","tensor(1.3295, device='cuda:0')"
"tensor(2.8400, device='cuda:0')","tensor(-3.0452, device='cuda:0')","tensor(1.1940, device='cuda:0')"
"tensor(2.6648, device='cuda:0')","tensor(-2.5752, device='cuda:0')","tensor(0.7926, device='cuda:0')"
"tensor(4.1709, device='cuda:0')","tensor(-3.2955, device='cuda:0')","tensor(0.4910, device='cuda:0')"
"tensor(4.0386, device='cuda:0')","tensor(-4.1624, device='cuda:0')","tensor(1.3310, device='cuda:0')"
"tensor(2.6769, device='cuda:0')","tensor(-2.4932, device='cuda:0')","tensor(0.8413, device='cuda:0')"
"tensor(2.5703, device='cuda:0')","tensor(-2.4649, device='cuda:0')","tensor(0.7671, device='cuda:0')"
"tensor(2.9189, device='cuda:0')","tensor(-2.8034, device='cuda:0')","tensor(0.9851, device='cuda:0')"
"tensor(3.2363, device='cuda:0')","tensor(-3.2802, device='cuda:0')","tensor(1.1150, device='cuda:0')"
"tensor(4.3918, device='cuda:0')","tensor(-3.8481, device='cuda:0')","tensor(0.7799, device='cuda:0')"
"tensor(3.6943, device='cuda:0')","tensor(-2.6549, device='cuda:0')","tensor(0.3859, device='cuda:0')"
"tensor(2.4711, device='cuda:0')","tensor(-2.1860, device='cuda:0')","tensor(0.7443, device='cuda:0')"
"tensor(4.2330, device='cuda:0')","tensor(-2.6887, device='cuda:0')","tensor(0.0560, device='cuda:0')"
"tensor(3.1371, device='cuda:0')","tensor(-1.9968, device='cuda:0')","tensor(0.1534, device='cuda:0')"
"tensor(4.2644, device='cuda:0')","tensor(-3.3423, device='cuda:0')","tensor(0.2716, device='cuda:0')"
"tensor(3.3159, device='cuda:0')","tensor(-3.0706, device='cuda:0')","tensor(0.5800, device='cuda:0')"
"tensor(3.3867, device='cuda:0')","tensor(-3.6223, device='cuda:0')","tensor(1.3204, device='cuda:0')"
"tensor(2.9327, device='cuda:0')","tensor(-1.7709, device='cuda:0')","tensor(0.0066, device='cuda:0')"
"tensor(3.6976, device='cuda:0')","tensor(-3.0572, device='cuda:0')","tensor(0.8028, device='cuda:0')"
"tensor(2.2126, device='cuda:0')","tensor(-0.9743, device='cuda:0')","tensor(-0.5476, device='cuda:0')"
"tensor(2.7220, device='cuda:0')","tensor(-1.3930, device='cuda:0')","tensor(-0.6712, device='cuda:0')"
"tensor(4.7581, device='cuda:0')","tensor(-3.7423, device='cuda:0')","tensor(0.4617, device='cuda:0')"
"tensor(0.2001, device='cuda:0')","tensor(2.2080, device='cuda:0')","tensor(-2.5147, device='cuda:0')"
"tensor(3.5174, device='cuda:0')","tensor(-3.3864, device='cuda:0')","tensor(0.8856, device='cuda:0')"
"tensor(2.3021, device='cuda:0')","tensor(-2.6549, device='cuda:0')","tensor(1.1379, device='cuda:0')"
"tensor(2.6891, device='cuda:0')","tensor(-2.6630, device='cuda:0')","tensor(0.9335, device='cuda:0')"
"tensor(4.5342, device='cuda:0')","tensor(-3.3771, device='cuda:0')","tensor(0.1062, device='cuda:0')"
"tensor(3.2799, device='cuda:0')","tensor(-2.8760, device='cuda:0')","tensor(0.5900, device='cuda:0')"
"tensor(5.6953, device='cuda:0')","tensor(-4.1828, device='cuda:0')","tensor(0.2707, device='cuda:0')"
"tensor(3.7920, device='cuda:0')","tensor(-2.7168, device='cuda:0')","tensor(0.3868, device='cuda:0')"
"tensor(3.0255, device='cuda:0')","tensor(-2.4236, device='cuda:0')","tensor(-0.0983, device='cuda:0')"
"tensor(3.4897, device='cuda:0')","tensor(-3.4619, device='cuda:0')","tensor(1.0366, device='cuda:0')"
"tensor(4.2214, device='cuda:0')","tensor(-3.6694, device='cuda:0')","tensor(0.8160, device='cuda:0')"
"tensor(4.3840, device='cuda:0')","tensor(-2.7566, device='cuda:0')","tensor(0.0228, device='cuda:0')"
"tensor(3.7718, device='cuda:0')","tensor(-3.8399, device='cuda:0')","tensor(1.0406, device='cuda:0')"
"tensor(1.6247, device='cuda:0')","tensor(-3.0064, device='cuda:0')","tensor(1.8744, device='cuda:0')"
"tensor(2.9102, device='cuda:0')","tensor(-2.8343, device='cuda:0')","tensor(1.0176, device='cuda:0')"
"tensor(2.9593, device='cuda:0')","tensor(-2.3806, device='cuda:0')","tensor(0.7076, device='cuda:0')"
"tensor(5.0030, device='cuda:0')","tensor(-4.5433, device='cuda:0')","tensor(0.8897, device='cuda:0')"
"tensor(4.7816, device='cuda:0')","tensor(-3.4220, device='cuda:0')","tensor(0.3440, device='cuda:0')"
"tensor(3.9535, device='cuda:0')","tensor(-2.6737, device='cuda:0')","tensor(0.2553, device='cuda:0')"
"tensor(4.3359, device='cuda:0')","tensor(-2.5018, device='cuda:0')","tensor(-0.4229, device='cuda:0')"
"tensor(3.1431, device='cuda:0')","tensor(-3.4394, device='cuda:0')","tensor(1.2421, device='cuda:0')"
"tensor(3.4628, device='cuda:0')","tensor(-2.3471, device='cuda:0')","tensor(-0.0294, device='cuda:0')"
"tensor(2.8978, device='cuda:0')","tensor(-2.0280, device='cuda:0')","tensor(0.1831, device='cuda:0')"
"tensor(3.4616, device='cuda:0')","tensor(-2.9011, device='cuda:0')","tensor(0.5807, device='cuda:0')"
"tensor(4.3828, device='cuda:0')","tensor(-2.0983, device='cuda:0')","tensor(-0.7577, device='cuda:0')"
"tensor(3.0663, device='cuda:0')","tensor(-2.7252, device='cuda:0')","tensor(0.4383, device='cuda:0')"
"tensor(2.9933, device='cuda:0')","tensor(-3.8801, device='cuda:0')","tensor(1.8372, device='cuda:0')"
"tensor(3.9028, device='cuda:0')","tensor(-3.2500, device='cuda:0')","tensor(0.5605, device='cuda:0')"
"tensor(3.7156, device='cuda:0')","tensor(-3.0854, device='cuda:0')","tensor(0.6283, device='cuda:0')"
"tensor(3.4204, device='cuda:0')","tensor(-3.1860, device='cuda:0')","tensor(0.8297, device='cuda:0')"
"tensor(2.9520, device='cuda:0')","tensor(-2.0769, device='cuda:0')","tensor(-0.0695, device='cuda:0')"
"tensor(4.1756, device='cuda:0')","tensor(-3.4036, device='cuda:0')","tensor(0.6430, device='cuda:0')"
"tensor(3.6683, device='cuda:0')","tensor(-2.1376, device='cuda:0')","tensor(-0.1892, device='cuda:0')"
"tensor(2.3607, device='cuda:0')","tensor(-0.9703, device='cuda:0')","tensor(-0.3841, device='cuda:0')"
"tensor(4.7873, device='cuda:0')","tensor(-4.5953, device='cuda:0')","tensor(1.2615, device='cuda:0')"
"tensor(4.2931, device='cuda:0')","tensor(-3.4236, device='cuda:0')","tensor(0.4931, device='cuda:0')"
"tensor(1.5477, device='cuda:0')","tensor(-1.7759, device='cuda:0')","tensor(0.5704, device='cuda:0')"
"tensor(4.2533, device='cuda:0')","tensor(-3.5838, device='cuda:0')","tensor(0.7879, device='cuda:0')"
"tensor(3.7950, device='cuda:0')","tensor(-3.5573, device='cuda:0')","tensor(0.6963, device='cuda:0')"
"tensor(-1.2537, device='cuda:0')","tensor(3.3983, device='cuda:0')","tensor(-2.8389, device='cuda:0')"
"tensor(3.6960, device='cuda:0')","tensor(-3.1317, device='cuda:0')","tensor(0.4190, device='cuda:0')"
"tensor(2.7106, device='cuda:0')","tensor(-1.8956, device='cuda:0')","tensor(0.2432, device='cuda:0')"
"tensor(5.1209, device='cuda:0')","tensor(-3.4333, device='cuda:0')","tensor(-0.2119, device='cuda:0')"
"tensor(2.3834, device='cuda:0')","tensor(-2.6597, device='cuda:0')","tensor(1.1029, device='cuda:0')"
"tensor(2.9645, device='cuda:0')","tensor(-2.1189, device='cuda:0')","tensor(0.1490, device='cuda:0')"
"tensor(1.9875, device='cuda:0')","tensor(-2.2652, device='cuda:0')","tensor(1.0974, device='cuda:0')"
"tensor(1.4954, device='cuda:0')","tensor(-1.5139, device='cuda:0')","tensor(0.5298, device='cuda:0')"
"tensor(3.2795, device='cuda:0')","tensor(-3.1719, device='cuda:0')","tensor(0.6770, device='cuda:0')"
"tensor(3.9223, device='cuda:0')","tensor(-3.0912, device='cuda:0')","tensor(0.6820, device='cuda:0')"
"tensor(4.2061, device='cuda:0')","tensor(-3.0683, device='cuda:0')","tensor(0.1852, device='cuda:0')"
"tensor(3.6636, device='cuda:0')","tensor(-2.7863, device='cuda:0')","tensor(0.3369, device='cuda:0')"
"tensor(4.6010, device='cuda:0')","tensor(-3.8042, device='cuda:0')","tensor(0.6937, device='cuda:0')"
"tensor(3.7686, device='cuda:0')","tensor(-3.1180, device='cuda:0')","tensor(0.5749, device='cuda:0')"
"tensor(1.5901, device='cuda:0')","tensor(-1.0634, device='cuda:0')","tensor(-0.0077, device='cuda:0')"
"tensor(2.9796, device='cuda:0')","tensor(-3.1659, device='cuda:0')","tensor(1.1799, device='cuda:0')"
"tensor(3.1938, device='cuda:0')","tensor(-3.3989, device='cuda:0')","tensor(1.3117, device='cuda:0')"
"tensor(0.5137, device='cuda:0')","tensor(0.1112, device='cuda:0')","tensor(-0.7756, device='cuda:0')"
"tensor(3.8188, device='cuda:0')","tensor(-2.6446, device='cuda:0')","tensor(0.2114, device='cuda:0')"
"tensor(-0.6140, device='cuda:0')","tensor(-0.5444, device='cuda:0')","tensor(0.8267, device='cuda:0')"
"tensor(0.6721, device='cuda:0')","tensor(0.0729, device='cuda:0')","tensor(-0.9426, device='cuda:0')"
"tensor(3.3909, device='cuda:0')","tensor(-3.4269, device='cuda:0')","tensor(0.9686, device='cuda:0')"
"tensor(3.0316, device='cuda:0')","tensor(-2.2423, device='cuda:0')","tensor(0.2783, device='cuda:0')"
"tensor(3.0681, device='cuda:0')","tensor(-3.5666, device='cuda:0')","tensor(1.1987, device='cuda:0')"
"tensor(3.4884, device='cuda:0')","tensor(-2.0223, device='cuda:0')","tensor(0.0310, device='cuda:0')"
"tensor(4.2755, device='cuda:0')","tensor(-3.9386, device='cuda:0')","tensor(0.7143, device='cuda:0')"
"tensor(-2.5724, device='cuda:0')","tensor(3.7829, device='cuda:0')","tensor(-2.4493, device='cuda:0')"
"tensor(2.7226, device='cuda:0')","tensor(-2.9308, device='cuda:0')","tensor(1.2845, device='cuda:0')"
"tensor(2.8811, device='cuda:0')","tensor(-2.8759, device='cuda:0')","tensor(1.1158, device='cuda:0')"
"tensor(4.5579, device='cuda:0')","tensor(-3.9915, device='cuda:0')","tensor(0.6760, device='cuda:0')"
"tensor(2.1585, device='cuda:0')","tensor(-3.5302, device='cuda:0')","tensor(2.0420, device='cuda:0')"
"tensor(2.1887, device='cuda:0')","tensor(-0.6866, device='cuda:0')","tensor(-0.9619, device='cuda:0')"
"tensor(2.8166, device='cuda:0')","tensor(-1.7225, device='cuda:0')","tensor(-0.0115, device='cuda:0')"
"tensor(4.4012, device='cuda:0')","tensor(-3.4527, device='cuda:0')","tensor(0.4606, device='cuda:0')"
"tensor(5.3291, device='cuda:0')","tensor(-3.7468, device='cuda:0')","tensor(-0.0371, device='cuda:0')"
"tensor(4.3578, device='cuda:0')","tensor(-4.0034, device='cuda:0')","tensor(0.8729, device='cuda:0')"
"tensor(4.2825, device='cuda:0')","tensor(-3.0102, device='cuda:0')","tensor(0.1085, device='cuda:0')"
"tensor(4.7651, device='cuda:0')","tensor(-2.7070, device='cuda:0')","tensor(-0.6277, device='cuda:0')"
"tensor(2.8889, device='cuda:0')","tensor(-2.6305, device='cuda:0')","tensor(0.6800, device='cuda:0')"
"tensor(1.4140, device='cuda:0')","tensor(-1.6237, device='cuda:0')","tensor(0.3872, device='cuda:0')"
"tensor(2.6085, device='cuda:0')","tensor(-1.5040, device='cuda:0')","tensor(0.0073, device='cuda:0')"
"tensor(3.7062, device='cuda:0')","tensor(-3.8678, device='cuda:0')","tensor(1.1229, device='cuda:0')"
"tensor(2.5128, device='cuda:0')","tensor(-4.0493, device='cuda:0')","tensor(2.3376, device='cuda:0')"
"tensor(3.1148, device='cuda:0')","tensor(-3.3329, device='cuda:0')","tensor(1.1905, device='cuda:0')"
"tensor(2.8501, device='cuda:0')","tensor(-3.3080, device='cuda:0')","tensor(1.3546, device='cuda:0')"
"tensor(4.1680, device='cuda:0')","tensor(-3.9663, device='cuda:0')","tensor(1.1051, device='cuda:0')"
"tensor(5.3588, device='cuda:0')","tensor(-3.6096, device='cuda:0')","tensor(-0.1809, device='cuda:0')"
"tensor(4.1207, device='cuda:0')","tensor(-3.1237, device='cuda:0')","tensor(0.3784, device='cuda:0')"
"tensor(2.9486, device='cuda:0')","tensor(-2.9706, device='cuda:0')","tensor(1.0472, device='cuda:0')"
"tensor(6.8941, device='cuda:0')","tensor(-5.5153, device='cuda:0')","tensor(0.5191, device='cuda:0')"
"tensor(4.2335, device='cuda:0')","tensor(-3.9554, device='cuda:0')","tensor(1.1210, device='cuda:0')"
"tensor(2.6229, device='cuda:0')","tensor(-3.2953, device='cuda:0')","tensor(1.5628, device='cuda:0')"
"tensor(2.4250, device='cuda:0')","tensor(-2.9839, device='cuda:0')","tensor(1.4369, device='cuda:0')"
"tensor(4.3132, device='cuda:0')","tensor(-1.4968, device='cuda:0')","tensor(-1.3205, device='cuda:0')"
"tensor(2.9523, device='cuda:0')","tensor(-2.8718, device='cuda:0')","tensor(0.9637, device='cuda:0')"
"tensor(4.2800, device='cuda:0')","tensor(-3.3880, device='cuda:0')","tensor(0.6611, device='cuda:0')"
"tensor(4.1351, device='cuda:0')","tensor(-3.9688, device='cuda:0')","tensor(0.8802, device='cuda:0')"
"tensor(1.1988, device='cuda:0')","tensor(-3.2436, device='cuda:0')","tensor(2.4043, device='cuda:0')"
"tensor(3.2740, device='cuda:0')","tensor(-3.5984, device='cuda:0')","tensor(1.2642, device='cuda:0')"
"tensor(4.6376, device='cuda:0')","tensor(-3.1164, device='cuda:0')","tensor(0.1837, device='cuda:0')"
"tensor(0.9713, device='cuda:0')","tensor(-0.9337, device='cuda:0')","tensor(0.1958, device='cuda:0')"
"tensor(3.2994, device='cuda:0')","tensor(-2.9262, device='cuda:0')","tensor(0.4285, device='cuda:0')"
