"tensor(0.7017, device='cuda:0')","tensor(-0.8904, device='cuda:0')"
"tensor(-2.7612, device='cuda:0')","tensor(3.3478, device='cuda:0')"
"tensor(-3.0443, device='cuda:0')","tensor(3.7458, device='cuda:0')"
"tensor(-1.8826, device='cuda:0')","tensor(2.2690, device='cuda:0')"
"tensor(-2.9866, device='cuda:0')","tensor(3.6512, device='cuda:0')"
"tensor(-2.0972, device='cuda:0')","tensor(2.5617, device='cuda:0')"
"tensor(-1.8512, device='cuda:0')","tensor(2.2352, device='cuda:0')"
"tensor(-1.5049, device='cuda:0')","tensor(1.8135, device='cuda:0')"
"tensor(-2.0876, device='cuda:0')","tensor(2.5413, device='cuda:0')"
"tensor(-1.7546, device='cuda:0')","tensor(2.1317, device='cuda:0')"
"tensor(-2.2498, device='cuda:0')","tensor(2.6999, device='cuda:0')"
"tensor(-1.3029, device='cuda:0')","tensor(1.5219, device='cuda:0')"
"tensor(-2.3584, device='cuda:0')","tensor(2.8689, device='cuda:0')"
"tensor(-2.0652, device='cuda:0')","tensor(2.5158, device='cuda:0')"
"tensor(-1.4850, device='cuda:0')","tensor(1.7520, device='cuda:0')"
"tensor(-2.7297, device='cuda:0')","tensor(3.3122, device='cuda:0')"
"tensor(-2.1310, device='cuda:0')","tensor(2.5935, device='cuda:0')"
"tensor(-0.9273, device='cuda:0')","tensor(1.0815, device='cuda:0')"
"tensor(-2.6872, device='cuda:0')","tensor(3.2640, device='cuda:0')"
"tensor(-1.9087, device='cuda:0')","tensor(2.3146, device='cuda:0')"
"tensor(-2.8941, device='cuda:0')","tensor(3.5476, device='cuda:0')"
"tensor(-1.4560, device='cuda:0')","tensor(1.7637, device='cuda:0')"
"tensor(-1.3312, device='cuda:0')","tensor(1.5701, device='cuda:0')"
"tensor(-1.2461, device='cuda:0')","tensor(1.4673, device='cuda:0')"
"tensor(-0.7866, device='cuda:0')","tensor(0.9192, device='cuda:0')"
"tensor(-1.8625, device='cuda:0')","tensor(2.2515, device='cuda:0')"
"tensor(-2.9191, device='cuda:0')","tensor(3.5535, device='cuda:0')"
"tensor(-2.7570, device='cuda:0')","tensor(3.3385, device='cuda:0')"
"tensor(-3.6348, device='cuda:0')","tensor(4.4993, device='cuda:0')"
"tensor(-1.9553, device='cuda:0')","tensor(2.3512, device='cuda:0')"
"tensor(-2.6763, device='cuda:0')","tensor(3.2607, device='cuda:0')"
"tensor(-1.8094, device='cuda:0')","tensor(2.1997, device='cuda:0')"
"tensor(-1.7110, device='cuda:0')","tensor(2.0634, device='cuda:0')"
"tensor(-2.0436, device='cuda:0')","tensor(2.4746, device='cuda:0')"
"tensor(-0.9808, device='cuda:0')","tensor(1.1343, device='cuda:0')"
"tensor(-2.0335, device='cuda:0')","tensor(2.4766, device='cuda:0')"
"tensor(-1.5869, device='cuda:0')","tensor(1.9130, device='cuda:0')"
"tensor(0.3354, device='cuda:0')","tensor(-0.4756, device='cuda:0')"
"tensor(-2.0838, device='cuda:0')","tensor(2.5318, device='cuda:0')"
"tensor(-2.0528, device='cuda:0')","tensor(2.4995, device='cuda:0')"
"tensor(-1.9949, device='cuda:0')","tensor(2.4355, device='cuda:0')"
"tensor(-2.0702, device='cuda:0')","tensor(2.5222, device='cuda:0')"
"tensor(-2.5482, device='cuda:0')","tensor(3.1179, device='cuda:0')"
"tensor(-1.8856, device='cuda:0')","tensor(2.2816, device='cuda:0')"
"tensor(-2.0724, device='cuda:0')","tensor(2.5279, device='cuda:0')"
"tensor(-3.6434, device='cuda:0')","tensor(4.3981, device='cuda:0')"
"tensor(-2.0665, device='cuda:0')","tensor(2.5155, device='cuda:0')"
"tensor(-1.8248, device='cuda:0')","tensor(2.2203, device='cuda:0')"
"tensor(-1.9017, device='cuda:0')","tensor(2.3153, device='cuda:0')"
"tensor(-2.0323, device='cuda:0')","tensor(2.4604, device='cuda:0')"
"tensor(-1.5953, device='cuda:0')","tensor(1.9447, device='cuda:0')"
"tensor(-2.4230, device='cuda:0')","tensor(2.9484, device='cuda:0')"
"tensor(-2.0900, device='cuda:0')","tensor(2.5441, device='cuda:0')"
"tensor(-3.4499, device='cuda:0')","tensor(4.1948, device='cuda:0')"
"tensor(-2.4968, device='cuda:0')","tensor(3.0454, device='cuda:0')"
"tensor(-0.1507, device='cuda:0')","tensor(0.1168, device='cuda:0')"
"tensor(-2.2850, device='cuda:0')","tensor(2.7795, device='cuda:0')"
"tensor(-0.5998, device='cuda:0')","tensor(0.6713, device='cuda:0')"
"tensor(-3.6038, device='cuda:0')","tensor(4.4634, device='cuda:0')"
"tensor(-2.1147, device='cuda:0')","tensor(2.5670, device='cuda:0')"
"tensor(-2.0784, device='cuda:0')","tensor(2.5278, device='cuda:0')"
"tensor(-2.4711, device='cuda:0')","tensor(3.0147, device='cuda:0')"
"tensor(-2.1157, device='cuda:0')","tensor(2.5756, device='cuda:0')"
"tensor(-3.0578, device='cuda:0')","tensor(3.7218, device='cuda:0')"
"tensor(-1.9389, device='cuda:0')","tensor(2.3632, device='cuda:0')"
"tensor(-2.1485, device='cuda:0')","tensor(2.6167, device='cuda:0')"
"tensor(-2.0452, device='cuda:0')","tensor(2.4778, device='cuda:0')"
"tensor(-2.5822, device='cuda:0')","tensor(3.1545, device='cuda:0')"
"tensor(-1.7336, device='cuda:0')","tensor(2.0972, device='cuda:0')"
"tensor(-2.0786, device='cuda:0')","tensor(2.5201, device='cuda:0')"
"tensor(-1.7599, device='cuda:0')","tensor(2.1192, device='cuda:0')"
"tensor(-2.7513, device='cuda:0')","tensor(3.3714, device='cuda:0')"
"tensor(-2.0673, device='cuda:0')","tensor(2.5170, device='cuda:0')"
"tensor(-2.3465, device='cuda:0')","tensor(2.8544, device='cuda:0')"
"tensor(-2.2405, device='cuda:0')","tensor(2.7230, device='cuda:0')"
"tensor(-3.2204, device='cuda:0')","tensor(3.9722, device='cuda:0')"
"tensor(-3.6867, device='cuda:0')","tensor(4.5741, device='cuda:0')"
"tensor(-2.0957, device='cuda:0')","tensor(2.5499, device='cuda:0')"
"tensor(-2.1145, device='cuda:0')","tensor(2.5756, device='cuda:0')"
"tensor(-2.7624, device='cuda:0')","tensor(3.3857, device='cuda:0')"
