"tensor(3.1011, device='cuda:0')","tensor(-2.5336, device='cuda:0')","tensor(-0.9804, device='cuda:0')"
"tensor(2.5321, device='cuda:0')","tensor(-1.6791, device='cuda:0')","tensor(-1.4873, device='cuda:0')"
"tensor(1.1404, device='cuda:0')","tensor(-1.8459, device='cuda:0')","tensor(0.8862, device='cuda:0')"
"tensor(2.1803, device='cuda:0')","tensor(-2.3630, device='cuda:0')","tensor(0.1825, device='cuda:0')"
"tensor(2.6106, device='cuda:0')","tensor(-2.5814, device='cuda:0')","tensor(-0.1075, device='cuda:0')"
"tensor(3.6195, device='cuda:0')","tensor(-3.5592, device='cuda:0')","tensor(-0.3100, device='cuda:0')"
"tensor(3.1957, device='cuda:0')","tensor(-3.5000, device='cuda:0')","tensor(0.2616, device='cuda:0')"
"tensor(3.3461, device='cuda:0')","tensor(-3.2853, device='cuda:0')","tensor(-0.2818, device='cuda:0')"
"tensor(4.6136, device='cuda:0')","tensor(-4.0324, device='cuda:0')","tensor(-1.1187, device='cuda:0')"
"tensor(4.7118, device='cuda:0')","tensor(-3.8892, device='cuda:0')","tensor(-1.4277, device='cuda:0')"
"tensor(3.7129, device='cuda:0')","tensor(-3.5459, device='cuda:0')","tensor(-0.4308, device='cuda:0')"
"tensor(3.2458, device='cuda:0')","tensor(-3.0939, device='cuda:0')","tensor(-0.3260, device='cuda:0')"
"tensor(4.9600, device='cuda:0')","tensor(-4.3121, device='cuda:0')","tensor(-1.2103, device='cuda:0')"
"tensor(4.6658, device='cuda:0')","tensor(-3.8010, device='cuda:0')","tensor(-1.4539, device='cuda:0')"
"tensor(3.4162, device='cuda:0')","tensor(-3.4997, device='cuda:0')","tensor(-0.0771, device='cuda:0')"
"tensor(4.1633, device='cuda:0')","tensor(-3.6045, device='cuda:0')","tensor(-1.0449, device='cuda:0')"
"tensor(5.4521, device='cuda:0')","tensor(-4.8598, device='cuda:0')","tensor(-1.2027, device='cuda:0')"
"tensor(-1.1978, device='cuda:0')","tensor(-0.0789, device='cuda:0')","tensor(1.5214, device='cuda:0')"
"tensor(0.9507, device='cuda:0')","tensor(-2.9031, device='cuda:0')","tensor(2.4010, device='cuda:0')"
"tensor(3.6414, device='cuda:0')","tensor(-3.1719, device='cuda:0')","tensor(-0.8611, device='cuda:0')"
"tensor(4.0006, device='cuda:0')","tensor(-3.4662, device='cuda:0')","tensor(-0.9123, device='cuda:0')"
"tensor(3.0952, device='cuda:0')","tensor(-2.7028, device='cuda:0')","tensor(-0.7060, device='cuda:0')"
"tensor(2.5210, device='cuda:0')","tensor(-2.7043, device='cuda:0')","tensor(0.0135, device='cuda:0')"
"tensor(3.0699, device='cuda:0')","tensor(-2.9733, device='cuda:0')","tensor(-0.2886, device='cuda:0')"
"tensor(2.8418, device='cuda:0')","tensor(-2.6917, device='cuda:0')","tensor(-0.3907, device='cuda:0')"
"tensor(3.9235, device='cuda:0')","tensor(-3.6945, device='cuda:0')","tensor(-0.4974, device='cuda:0')"
"tensor(2.3239, device='cuda:0')","tensor(-1.9127, device='cuda:0')","tensor(-0.6736, device='cuda:0')"
"tensor(2.8065, device='cuda:0')","tensor(-2.7098, device='cuda:0')","tensor(-0.2759, device='cuda:0')"
"tensor(3.5187, device='cuda:0')","tensor(-2.7413, device='cuda:0')","tensor(-1.4113, device='cuda:0')"
"tensor(3.7674, device='cuda:0')","tensor(-3.7030, device='cuda:0')","tensor(-0.3032, device='cuda:0')"
"tensor(3.3141, device='cuda:0')","tensor(-3.2964, device='cuda:0')","tensor(-0.2507, device='cuda:0')"
"tensor(3.9919, device='cuda:0')","tensor(-2.8065, device='cuda:0')","tensor(-1.9367, device='cuda:0')"
"tensor(3.3440, device='cuda:0')","tensor(-3.3821, device='cuda:0')","tensor(-0.1029, device='cuda:0')"
"tensor(2.8725, device='cuda:0')","tensor(-2.6324, device='cuda:0')","tensor(-0.5208, device='cuda:0')"
"tensor(4.7106, device='cuda:0')","tensor(-3.5424, device='cuda:0')","tensor(-1.9218, device='cuda:0')"
"tensor(3.5425, device='cuda:0')","tensor(-3.4571, device='cuda:0')","tensor(-0.2914, device='cuda:0')"
"tensor(4.1611, device='cuda:0')","tensor(-3.6629, device='cuda:0')","tensor(-0.9204, device='cuda:0')"
"tensor(3.1905, device='cuda:0')","tensor(-3.3482, device='cuda:0')","tensor(-0.0061, device='cuda:0')"
"tensor(3.9281, device='cuda:0')","tensor(-3.5788, device='cuda:0')","tensor(-0.6619, device='cuda:0')"
"tensor(3.2645, device='cuda:0')","tensor(-3.3372, device='cuda:0')","tensor(-0.0102, device='cuda:0')"
"tensor(2.6006, device='cuda:0')","tensor(-1.3636, device='cuda:0')","tensor(-2.0306, device='cuda:0')"
"tensor(3.0924, device='cuda:0')","tensor(-2.8218, device='cuda:0')","tensor(-0.5327, device='cuda:0')"
"tensor(2.5114, device='cuda:0')","tensor(-2.6242, device='cuda:0')","tensor(0.0252, device='cuda:0')"
"tensor(3.7153, device='cuda:0')","tensor(-3.0562, device='cuda:0')","tensor(-1.1410, device='cuda:0')"
"tensor(3.6946, device='cuda:0')","tensor(-3.5956, device='cuda:0')","tensor(-0.2561, device='cuda:0')"
"tensor(4.1948, device='cuda:0')","tensor(-3.7207, device='cuda:0')","tensor(-0.8590, device='cuda:0')"
"tensor(4.7694, device='cuda:0')","tensor(-3.6908, device='cuda:0')","tensor(-1.8658, device='cuda:0')"
"tensor(5.0067, device='cuda:0')","tensor(-3.8878, device='cuda:0')","tensor(-2.0092, device='cuda:0')"
"tensor(2.3291, device='cuda:0')","tensor(-2.3197, device='cuda:0')","tensor(-0.1118, device='cuda:0')"
"tensor(3.2011, device='cuda:0')","tensor(-2.6986, device='cuda:0')","tensor(-0.8518, device='cuda:0')"
"tensor(2.4491, device='cuda:0')","tensor(-1.6505, device='cuda:0')","tensor(-1.3646, device='cuda:0')"
"tensor(3.9475, device='cuda:0')","tensor(-3.2958, device='cuda:0')","tensor(-1.0703, device='cuda:0')"
"tensor(4.5604, device='cuda:0')","tensor(-4.2101, device='cuda:0')","tensor(-0.7206, device='cuda:0')"
"tensor(2.3477, device='cuda:0')","tensor(-3.6126, device='cuda:0')","tensor(1.5672, device='cuda:0')"
"tensor(3.7107, device='cuda:0')","tensor(-3.2135, device='cuda:0')","tensor(-0.9215, device='cuda:0')"
"tensor(4.2686, device='cuda:0')","tensor(-3.4978, device='cuda:0')","tensor(-1.2821, device='cuda:0')"
"tensor(3.3508, device='cuda:0')","tensor(-3.7598, device='cuda:0')","tensor(0.2833, device='cuda:0')"
"tensor(3.4343, device='cuda:0')","tensor(-3.3128, device='cuda:0')","tensor(-0.3434, device='cuda:0')"
"tensor(2.7946, device='cuda:0')","tensor(-2.1781, device='cuda:0')","tensor(-1.0038, device='cuda:0')"
"tensor(4.8243, device='cuda:0')","tensor(-3.4967, device='cuda:0')","tensor(-2.3361, device='cuda:0')"
"tensor(3.7452, device='cuda:0')","tensor(-3.6996, device='cuda:0')","tensor(-0.2020, device='cuda:0')"
"tensor(1.6157, device='cuda:0')","tensor(-0.3636, device='cuda:0')","tensor(-1.8842, device='cuda:0')"
"tensor(3.9863, device='cuda:0')","tensor(-3.4883, device='cuda:0')","tensor(-0.8803, device='cuda:0')"
"tensor(1.9604, device='cuda:0')","tensor(-1.7424, device='cuda:0')","tensor(-0.4473, device='cuda:0')"
"tensor(1.9156, device='cuda:0')","tensor(-2.8474, device='cuda:0')","tensor(1.0918, device='cuda:0')"
"tensor(4.0240, device='cuda:0')","tensor(-3.7911, device='cuda:0')","tensor(-0.6435, device='cuda:0')"
"tensor(4.1297, device='cuda:0')","tensor(-3.6890, device='cuda:0')","tensor(-0.8258, device='cuda:0')"
"tensor(4.0189, device='cuda:0')","tensor(-3.3762, device='cuda:0')","tensor(-1.0624, device='cuda:0')"
"tensor(2.1840, device='cuda:0')","tensor(-2.2442, device='cuda:0')","tensor(0.0175, device='cuda:0')"
"tensor(3.9380, device='cuda:0')","tensor(-3.7096, device='cuda:0')","tensor(-0.4722, device='cuda:0')"
"tensor(3.6922, device='cuda:0')","tensor(-2.6321, device='cuda:0')","tensor(-1.6720, device='cuda:0')"
"tensor(4.1434, device='cuda:0')","tensor(-3.5884, device='cuda:0')","tensor(-0.9732, device='cuda:0')"
"tensor(4.2162, device='cuda:0')","tensor(-3.9238, device='cuda:0')","tensor(-0.5537, device='cuda:0')"
"tensor(4.6568, device='cuda:0')","tensor(-3.1441, device='cuda:0')","tensor(-2.4660, device='cuda:0')"
"tensor(3.7168, device='cuda:0')","tensor(-3.2809, device='cuda:0')","tensor(-0.7984, device='cuda:0')"
"tensor(3.8229, device='cuda:0')","tensor(-3.6551, device='cuda:0')","tensor(-0.3783, device='cuda:0')"
"tensor(2.9318, device='cuda:0')","tensor(-2.9434, device='cuda:0')","tensor(-0.1494, device='cuda:0')"
"tensor(5.2870, device='cuda:0')","tensor(-3.9651, device='cuda:0')","tensor(-2.2471, device='cuda:0')"
"tensor(1.7973, device='cuda:0')","tensor(-0.7133, device='cuda:0')","tensor(-1.6092, device='cuda:0')"
"tensor(4.3397, device='cuda:0')","tensor(-3.9923, device='cuda:0')","tensor(-0.7518, device='cuda:0')"
"tensor(3.6233, device='cuda:0')","tensor(-2.9998, device='cuda:0')","tensor(-1.0207, device='cuda:0')"
"tensor(3.7063, device='cuda:0')","tensor(-3.4730, device='cuda:0')","tensor(-0.5491, device='cuda:0')"
"tensor(4.0888, device='cuda:0')","tensor(-3.4410, device='cuda:0')","tensor(-1.1535, device='cuda:0')"
"tensor(3.6602, device='cuda:0')","tensor(-3.3691, device='cuda:0')","tensor(-0.5967, device='cuda:0')"
"tensor(4.1834, device='cuda:0')","tensor(-3.5452, device='cuda:0')","tensor(-1.1431, device='cuda:0')"
"tensor(3.0463, device='cuda:0')","tensor(-3.4048, device='cuda:0')","tensor(0.3341, device='cuda:0')"
"tensor(3.3747, device='cuda:0')","tensor(-2.9805, device='cuda:0')","tensor(-0.7443, device='cuda:0')"
"tensor(3.5558, device='cuda:0')","tensor(-3.1591, device='cuda:0')","tensor(-0.7273, device='cuda:0')"
"tensor(3.1359, device='cuda:0')","tensor(-2.7196, device='cuda:0')","tensor(-0.7286, device='cuda:0')"
"tensor(3.1085, device='cuda:0')","tensor(-3.0048, device='cuda:0')","tensor(-0.3140, device='cuda:0')"
"tensor(2.9086, device='cuda:0')","tensor(-2.9768, device='cuda:0')","tensor(-0.0210, device='cuda:0')"
"tensor(2.9224, device='cuda:0')","tensor(-1.9716, device='cuda:0')","tensor(-1.4251, device='cuda:0')"
"tensor(2.4128, device='cuda:0')","tensor(-2.5972, device='cuda:0')","tensor(0.2195, device='cuda:0')"
"tensor(-0.5798, device='cuda:0')","tensor(0.1675, device='cuda:0')","tensor(0.4844, device='cuda:0')"
"tensor(2.9308, device='cuda:0')","tensor(-2.8449, device='cuda:0')","tensor(-0.2396, device='cuda:0')"
"tensor(2.2569, device='cuda:0')","tensor(-2.4462, device='cuda:0')","tensor(0.1638, device='cuda:0')"
"tensor(4.2878, device='cuda:0')","tensor(-3.7104, device='cuda:0')","tensor(-1.0758, device='cuda:0')"
"tensor(3.3651, device='cuda:0')","tensor(-3.4007, device='cuda:0')","tensor(-0.1112, device='cuda:0')"
"tensor(4.0063, device='cuda:0')","tensor(-3.5430, device='cuda:0')","tensor(-0.9244, device='cuda:0')"
"tensor(3.9099, device='cuda:0')","tensor(-3.3239, device='cuda:0')","tensor(-0.9902, device='cuda:0')"
"tensor(3.5564, device='cuda:0')","tensor(-3.2120, device='cuda:0')","tensor(-0.7032, device='cuda:0')"
"tensor(2.3074, device='cuda:0')","tensor(-1.5952, device='cuda:0')","tensor(-1.1962, device='cuda:0')"
"tensor(4.0621, device='cuda:0')","tensor(-4.3779, device='cuda:0')","tensor(0.1736, device='cuda:0')"
"tensor(0.9973, device='cuda:0')","tensor(-0.7155, device='cuda:0')","tensor(-0.5636, device='cuda:0')"
"tensor(4.5708, device='cuda:0')","tensor(-4.1436, device='cuda:0')","tensor(-0.8460, device='cuda:0')"
"tensor(3.2490, device='cuda:0')","tensor(-3.4047, device='cuda:0')","tensor(0.0635, device='cuda:0')"
"tensor(2.2504, device='cuda:0')","tensor(-2.4970, device='cuda:0')","tensor(0.2699, device='cuda:0')"
"tensor(3.7310, device='cuda:0')","tensor(-3.1996, device='cuda:0')","tensor(-0.9758, device='cuda:0')"
"tensor(3.7673, device='cuda:0')","tensor(-3.6519, device='cuda:0')","tensor(-0.3225, device='cuda:0')"
"tensor(3.2214, device='cuda:0')","tensor(-2.9767, device='cuda:0')","tensor(-0.4506, device='cuda:0')"
"tensor(3.2375, device='cuda:0')","tensor(-2.9574, device='cuda:0')","tensor(-0.4942, device='cuda:0')"
"tensor(2.9841, device='cuda:0')","tensor(-2.8219, device='cuda:0')","tensor(-0.3405, device='cuda:0')"
"tensor(3.9490, device='cuda:0')","tensor(-3.5257, device='cuda:0')","tensor(-0.7827, device='cuda:0')"
"tensor(4.0797, device='cuda:0')","tensor(-3.5774, device='cuda:0')","tensor(-0.9156, device='cuda:0')"
"tensor(3.3142, device='cuda:0')","tensor(-2.7885, device='cuda:0')","tensor(-0.8449, device='cuda:0')"
"tensor(3.1618, device='cuda:0')","tensor(-2.8341, device='cuda:0')","tensor(-0.6150, device='cuda:0')"
"tensor(4.2329, device='cuda:0')","tensor(-3.5748, device='cuda:0')","tensor(-1.2093, device='cuda:0')"
"tensor(3.1849, device='cuda:0')","tensor(-2.4288, device='cuda:0')","tensor(-1.1794, device='cuda:0')"
"tensor(3.8204, device='cuda:0')","tensor(-2.9801, device='cuda:0')","tensor(-1.4653, device='cuda:0')"
"tensor(3.5296, device='cuda:0')","tensor(-3.0459, device='cuda:0')","tensor(-0.9284, device='cuda:0')"
"tensor(3.2923, device='cuda:0')","tensor(-3.4474, device='cuda:0')","tensor(0.0799, device='cuda:0')"
"tensor(3.1070, device='cuda:0')","tensor(-2.7121, device='cuda:0')","tensor(-0.7677, device='cuda:0')"
"tensor(3.7813, device='cuda:0')","tensor(-3.3015, device='cuda:0')","tensor(-0.9720, device='cuda:0')"
"tensor(2.4562, device='cuda:0')","tensor(-1.6437, device='cuda:0')","tensor(-1.4793, device='cuda:0')"
"tensor(2.3494, device='cuda:0')","tensor(-2.0368, device='cuda:0')","tensor(-0.5839, device='cuda:0')"
"tensor(4.9948, device='cuda:0')","tensor(-4.1492, device='cuda:0')","tensor(-1.5392, device='cuda:0')"
"tensor(0.8683, device='cuda:0')","tensor(0.4776, device='cuda:0')","tensor(-2.2928, device='cuda:0')"
"tensor(3.4583, device='cuda:0')","tensor(-3.0336, device='cuda:0')","tensor(-0.8722, device='cuda:0')"
"tensor(2.9014, device='cuda:0')","tensor(-2.8871, device='cuda:0')","tensor(-0.2073, device='cuda:0')"
"tensor(2.4272, device='cuda:0')","tensor(-3.0052, device='cuda:0')","tensor(0.5721, device='cuda:0')"
"tensor(4.8085, device='cuda:0')","tensor(-3.5510, device='cuda:0')","tensor(-2.0654, device='cuda:0')"
"tensor(2.8366, device='cuda:0')","tensor(-2.3700, device='cuda:0')","tensor(-0.7696, device='cuda:0')"
"tensor(5.1975, device='cuda:0')","tensor(-4.1578, device='cuda:0')","tensor(-1.7968, device='cuda:0')"
"tensor(3.8585, device='cuda:0')","tensor(-3.0703, device='cuda:0')","tensor(-1.3196, device='cuda:0')"
"tensor(3.4449, device='cuda:0')","tensor(-3.1265, device='cuda:0')","tensor(-0.8017, device='cuda:0')"
"tensor(3.4447, device='cuda:0')","tensor(-3.5450, device='cuda:0')","tensor(-0.0352, device='cuda:0')"
"tensor(3.7033, device='cuda:0')","tensor(-3.6928, device='cuda:0')","tensor(-0.1763, device='cuda:0')"
"tensor(3.6334, device='cuda:0')","tensor(-2.6789, device='cuda:0')","tensor(-1.5346, device='cuda:0')"
"tensor(3.7858, device='cuda:0')","tensor(-3.3585, device='cuda:0')","tensor(-0.7962, device='cuda:0')"
"tensor(1.5014, device='cuda:0')","tensor(-2.8997, device='cuda:0')","tensor(1.6574, device='cuda:0')"
"tensor(3.4941, device='cuda:0')","tensor(-3.4352, device='cuda:0')","tensor(-0.2749, device='cuda:0')"
"tensor(3.3292, device='cuda:0')","tensor(-2.9103, device='cuda:0')","tensor(-0.7720, device='cuda:0')"
"tensor(5.0993, device='cuda:0')","tensor(-3.9648, device='cuda:0')","tensor(-1.9873, device='cuda:0')"
"tensor(4.4908, device='cuda:0')","tensor(-3.8407, device='cuda:0')","tensor(-1.2359, device='cuda:0')"
"tensor(4.0016, device='cuda:0')","tensor(-2.9698, device='cuda:0')","tensor(-1.6416, device='cuda:0')"
"tensor(4.0463, device='cuda:0')","tensor(-3.2388, device='cuda:0')","tensor(-1.3521, device='cuda:0')"
"tensor(3.3794, device='cuda:0')","tensor(-3.4475, device='cuda:0')","tensor(-0.0862, device='cuda:0')"
"tensor(2.6379, device='cuda:0')","tensor(-2.1832, device='cuda:0')","tensor(-0.8280, device='cuda:0')"
"tensor(3.1668, device='cuda:0')","tensor(-2.4638, device='cuda:0')","tensor(-1.2497, device='cuda:0')"
"tensor(3.3285, device='cuda:0')","tensor(-3.0071, device='cuda:0')","tensor(-0.6594, device='cuda:0')"
"tensor(3.1499, device='cuda:0')","tensor(-2.1457, device='cuda:0')","tensor(-1.6564, device='cuda:0')"
"tensor(2.4419, device='cuda:0')","tensor(-2.2349, device='cuda:0')","tensor(-0.3391, device='cuda:0')"
"tensor(3.8686, device='cuda:0')","tensor(-3.6781, device='cuda:0')","tensor(-0.5093, device='cuda:0')"
"tensor(4.4474, device='cuda:0')","tensor(-3.8614, device='cuda:0')","tensor(-1.0607, device='cuda:0')"
"tensor(3.9323, device='cuda:0')","tensor(-3.5271, device='cuda:0')","tensor(-0.7662, device='cuda:0')"
"tensor(1.5817, device='cuda:0')","tensor(-2.9061, device='cuda:0')","tensor(1.6801, device='cuda:0')"
"tensor(3.0874, device='cuda:0')","tensor(-2.7964, device='cuda:0')","tensor(-0.8140, device='cuda:0')"
"tensor(3.8432, device='cuda:0')","tensor(-3.4100, device='cuda:0')","tensor(-0.8265, device='cuda:0')"
"tensor(3.3834, device='cuda:0')","tensor(-2.3512, device='cuda:0')","tensor(-1.6226, device='cuda:0')"
"tensor(2.9109, device='cuda:0')","tensor(-2.1523, device='cuda:0')","tensor(-1.3292, device='cuda:0')"
"tensor(4.4070, device='cuda:0')","tensor(-4.0327, device='cuda:0')","tensor(-0.8010, device='cuda:0')"
"tensor(3.7032, device='cuda:0')","tensor(-3.1642, device='cuda:0')","tensor(-0.9017, device='cuda:0')"
"tensor(0.4265, device='cuda:0')","tensor(-1.9224, device='cuda:0')","tensor(1.8073, device='cuda:0')"
"tensor(3.8892, device='cuda:0')","tensor(-3.6486, device='cuda:0')","tensor(-0.5795, device='cuda:0')"
"tensor(2.9134, device='cuda:0')","tensor(-2.6210, device='cuda:0')","tensor(-0.4815, device='cuda:0')"
"tensor(-1.6265, device='cuda:0')","tensor(2.4229, device='cuda:0')","tensor(-1.4425, device='cuda:0')"
"tensor(3.1076, device='cuda:0')","tensor(-2.5891, device='cuda:0')","tensor(-0.8807, device='cuda:0')"
"tensor(2.3355, device='cuda:0')","tensor(-2.3451, device='cuda:0')","tensor(-0.0435, device='cuda:0')"
"tensor(4.2606, device='cuda:0')","tensor(-3.2053, device='cuda:0')","tensor(-1.6263, device='cuda:0')"
"tensor(2.4923, device='cuda:0')","tensor(-2.8122, device='cuda:0')","tensor(0.3159, device='cuda:0')"
"tensor(2.1351, device='cuda:0')","tensor(-1.7199, device='cuda:0')","tensor(-0.5911, device='cuda:0')"
"tensor(2.5367, device='cuda:0')","tensor(-2.2062, device='cuda:0')","tensor(-0.5797, device='cuda:0')"
"tensor(1.8502, device='cuda:0')","tensor(-1.8851, device='cuda:0')","tensor(-0.0181, device='cuda:0')"
"tensor(2.6557, device='cuda:0')","tensor(-2.8761, device='cuda:0')","tensor(0.2172, device='cuda:0')"
"tensor(4.2706, device='cuda:0')","tensor(-3.6164, device='cuda:0')","tensor(-1.1701, device='cuda:0')"
"tensor(3.8891, device='cuda:0')","tensor(-3.3138, device='cuda:0')","tensor(-1.0142, device='cuda:0')"
"tensor(3.3422, device='cuda:0')","tensor(-2.9369, device='cuda:0')","tensor(-0.7293, device='cuda:0')"
"tensor(4.1484, device='cuda:0')","tensor(-3.8001, device='cuda:0')","tensor(-0.6629, device='cuda:0')"
"tensor(3.5910, device='cuda:0')","tensor(-3.3283, device='cuda:0')","tensor(-0.5941, device='cuda:0')"
"tensor(2.8490, device='cuda:0')","tensor(-2.4731, device='cuda:0')","tensor(-1.0488, device='cuda:0')"
"tensor(3.7567, device='cuda:0')","tensor(-3.5426, device='cuda:0')","tensor(-0.5022, device='cuda:0')"
"tensor(3.3932, device='cuda:0')","tensor(-3.1169, device='cuda:0')","tensor(-0.5416, device='cuda:0')"
"tensor(-0.3195, device='cuda:0')","tensor(0.5512, device='cuda:0')","tensor(-0.4027, device='cuda:0')"
"tensor(4.0091, device='cuda:0')","tensor(-3.2895, device='cuda:0')","tensor(-1.3012, device='cuda:0')"
"tensor(-1.3647, device='cuda:0')","tensor(0.3088, device='cuda:0')","tensor(1.2089, device='cuda:0')"
"tensor(2.4349, device='cuda:0')","tensor(-1.3704, device='cuda:0')","tensor(-2.0680, device='cuda:0')"
"tensor(3.3637, device='cuda:0')","tensor(-3.5131, device='cuda:0')","tensor(-0.0609, device='cuda:0')"
"tensor(3.9635, device='cuda:0')","tensor(-3.0568, device='cuda:0')","tensor(-1.4659, device='cuda:0')"
"tensor(3.9250, device='cuda:0')","tensor(-3.2454, device='cuda:0')","tensor(-1.2012, device='cuda:0')"
"tensor(3.3910, device='cuda:0')","tensor(-3.2303, device='cuda:0')","tensor(-0.4022, device='cuda:0')"
"tensor(3.9563, device='cuda:0')","tensor(-3.5307, device='cuda:0')","tensor(-0.7656, device='cuda:0')"
"tensor(-2.0052, device='cuda:0')","tensor(2.6287, device='cuda:0')","tensor(-1.3102, device='cuda:0')"
"tensor(2.6918, device='cuda:0')","tensor(-2.3198, device='cuda:0')","tensor(-0.6409, device='cuda:0')"
"tensor(3.0632, device='cuda:0')","tensor(-3.1830, device='cuda:0')","tensor(-0.0463, device='cuda:0')"
"tensor(4.4018, device='cuda:0')","tensor(-3.5450, device='cuda:0')","tensor(-1.4313, device='cuda:0')"
"tensor(2.6998, device='cuda:0')","tensor(-2.7585, device='cuda:0')","tensor(-0.0433, device='cuda:0')"
"tensor(2.3587, device='cuda:0')","tensor(-1.9112, device='cuda:0')","tensor(-0.9135, device='cuda:0')"
"tensor(2.2967, device='cuda:0')","tensor(-2.2071, device='cuda:0')","tensor(-0.1576, device='cuda:0')"
"tensor(4.2084, device='cuda:0')","tensor(-3.7877, device='cuda:0')","tensor(-0.7203, device='cuda:0')"
"tensor(5.1607, device='cuda:0')","tensor(-3.8113, device='cuda:0')","tensor(-2.2553, device='cuda:0')"
"tensor(4.0578, device='cuda:0')","tensor(-3.5074, device='cuda:0')","tensor(-0.9719, device='cuda:0')"
"tensor(3.6768, device='cuda:0')","tensor(-3.5349, device='cuda:0')","tensor(-0.3184, device='cuda:0')"
"tensor(4.2911, device='cuda:0')","tensor(-3.1012, device='cuda:0')","tensor(-1.9247, device='cuda:0')"
"tensor(2.2201, device='cuda:0')","tensor(-2.7291, device='cuda:0')","tensor(0.5387, device='cuda:0')"
"tensor(0.6245, device='cuda:0')","tensor(-1.3387, device='cuda:0')","tensor(0.7611, device='cuda:0')"
"tensor(2.9332, device='cuda:0')","tensor(-1.8314, device='cuda:0')","tensor(-1.7108, device='cuda:0')"
"tensor(3.5274, device='cuda:0')","tensor(-3.5478, device='cuda:0')","tensor(-0.1125, device='cuda:0')"
"tensor(3.8276, device='cuda:0')","tensor(-3.9630, device='cuda:0')","tensor(-0.0003, device='cuda:0')"
"tensor(2.0802, device='cuda:0')","tensor(-2.9950, device='cuda:0')","tensor(1.0556, device='cuda:0')"
"tensor(3.2048, device='cuda:0')","tensor(-3.6313, device='cuda:0')","tensor(0.3309, device='cuda:0')"
"tensor(5.3155, device='cuda:0')","tensor(-4.7099, device='cuda:0')","tensor(-1.2862, device='cuda:0')"
"tensor(4.1141, device='cuda:0')","tensor(-3.5554, device='cuda:0')","tensor(-0.9936, device='cuda:0')"
"tensor(4.2301, device='cuda:0')","tensor(-3.6562, device='cuda:0')","tensor(-1.0876, device='cuda:0')"
"tensor(4.0503, device='cuda:0')","tensor(-3.5222, device='cuda:0')","tensor(-1.0182, device='cuda:0')"
"tensor(7.0393, device='cuda:0')","tensor(-5.7706, device='cuda:0')","tensor(-2.2504, device='cuda:0')"
"tensor(3.2230, device='cuda:0')","tensor(-3.3053, device='cuda:0')","tensor(-0.1583, device='cuda:0')"
"tensor(2.5891, device='cuda:0')","tensor(-2.8628, device='cuda:0')","tensor(0.2264, device='cuda:0')"
"tensor(2.6893, device='cuda:0')","tensor(-2.9145, device='cuda:0')","tensor(0.1777, device='cuda:0')"
"tensor(3.5334, device='cuda:0')","tensor(-2.0849, device='cuda:0')","tensor(-2.3178, device='cuda:0')"
"tensor(3.8913, device='cuda:0')","tensor(-3.1784, device='cuda:0')","tensor(-1.1886, device='cuda:0')"
"tensor(3.7397, device='cuda:0')","tensor(-3.3514, device='cuda:0')","tensor(-0.6814, device='cuda:0')"
"tensor(3.6571, device='cuda:0')","tensor(-3.0079, device='cuda:0')","tensor(-1.1288, device='cuda:0')"
"tensor(1.5858, device='cuda:0')","tensor(-2.4628, device='cuda:0')","tensor(1.0553, device='cuda:0')"
"tensor(2.8701, device='cuda:0')","tensor(-2.7179, device='cuda:0')","tensor(-0.3297, device='cuda:0')"
