tensor(1.6471, device='cuda:0'),tensor(1.8323, device='cuda:0'),tensor(-1.2495, device='cuda:0'),tensor(-1.0122, device='cuda:0')
tensor(1.5667, device='cuda:0'),tensor(-0.4168, device='cuda:0'),tensor(-0.8535, device='cuda:0'),tensor(0.5061, device='cuda:0')
tensor(3.4029, device='cuda:0'),tensor(0.7394, device='cuda:0'),tensor(-1.9510, device='cuda:0'),tensor(-0.8449, device='cuda:0')
tensor(-2.6839, device='cuda:0'),tensor(0.5984, device='cuda:0'),tensor(2.5903, device='cuda:0'),tensor(-0.4999, device='cuda:0')
tensor(-1.7827, device='cuda:0'),tensor(2.4638, device='cuda:0'),tensor(1.3431, device='cuda:0'),tensor(-1.7681, device='cuda:0')
tensor(-1.9234, device='cuda:0'),tensor(0.1084, device='cuda:0'),tensor(3.6096, device='cuda:0'),tensor(-1.7953, device='cuda:0')
tensor(3.8122, device='cuda:0'),tensor(-0.5180, device='cuda:0'),tensor(-1.6581, device='cuda:0'),tensor(-0.2789, device='cuda:0')
tensor(-1.5316, device='cuda:0'),tensor(0.1586, device='cuda:0'),tensor(1.6312, device='cuda:0'),tensor(-0.5416, device='cuda:0')
tensor(4.4750, device='cuda:0'),tensor(-0.2525, device='cuda:0'),tensor(-1.8656, device='cuda:0'),tensor(-0.8940, device='cuda:0')
tensor(-0.4052, device='cuda:0'),tensor(-0.0664, device='cuda:0'),tensor(0.2451, device='cuda:0'),tensor(0.2432, device='cuda:0')
tensor(-1.5360, device='cuda:0'),tensor(1.8958, device='cuda:0'),tensor(2.3369, device='cuda:0'),tensor(-2.0425, device='cuda:0')
tensor(-0.4383, device='cuda:0'),tensor(-0.1483, device='cuda:0'),tensor(0.0067, device='cuda:0'),tensor(0.4643, device='cuda:0')
tensor(0.6746, device='cuda:0'),tensor(-0.8079, device='cuda:0'),tensor(-0.2364, device='cuda:0'),tensor(0.5306, device='cuda:0')
tensor(2.7037, device='cuda:0'),tensor(2.2596, device='cuda:0'),tensor(-1.5206, device='cuda:0'),tensor(-1.9145, device='cuda:0')
tensor(0.5775, device='cuda:0'),tensor(0.0514, device='cuda:0'),tensor(-0.1225, device='cuda:0'),tensor(-0.3252, device='cuda:0')
tensor(-0.7882, device='cuda:0'),tensor(0.0132, device='cuda:0'),tensor(2.5785, device='cuda:0'),tensor(-1.5956, device='cuda:0')
tensor(3.2160, device='cuda:0'),tensor(-0.2490, device='cuda:0'),tensor(-1.4368, device='cuda:0'),tensor(-0.4202, device='cuda:0')
tensor(0.5132, device='cuda:0'),tensor(-0.6614, device='cuda:0'),tensor(1.0397, device='cuda:0'),tensor(-0.7551, device='cuda:0')
tensor(3.5877, device='cuda:0'),tensor(0.2037, device='cuda:0'),tensor(-1.5698, device='cuda:0'),tensor(-1.0215, device='cuda:0')
tensor(-0.3089, device='cuda:0'),tensor(-0.6143, device='cuda:0'),tensor(0.9333, device='cuda:0'),tensor(-0.2272, device='cuda:0')
tensor(-1.0867, device='cuda:0'),tensor(2.2911, device='cuda:0'),tensor(0.7957, device='cuda:0'),tensor(-1.2916, device='cuda:0')
tensor(3.3872, device='cuda:0'),tensor(-1.3769, device='cuda:0'),tensor(-1.3525, device='cuda:0'),tensor(-0.0887, device='cuda:0')
tensor(0.1745, device='cuda:0'),tensor(-0.0769, device='cuda:0'),tensor(1.2092, device='cuda:0'),tensor(-1.2123, device='cuda:0')
tensor(-2.1273, device='cuda:0'),tensor(2.6386, device='cuda:0'),tensor(0.7667, device='cuda:0'),tensor(-0.6591, device='cuda:0')
tensor(-0.1943, device='cuda:0'),tensor(-0.1498, device='cuda:0'),tensor(0.5140, device='cuda:0'),tensor(-0.3087, device='cuda:0')
tensor(3.1024, device='cuda:0'),tensor(2.9962, device='cuda:0'),tensor(-2.1630, device='cuda:0'),tensor(-2.2148, device='cuda:0')
tensor(0.6118, device='cuda:0'),tensor(-0.4041, device='cuda:0'),tensor(0.2563, device='cuda:0'),tensor(-0.5909, device='cuda:0')
tensor(0.0654, device='cuda:0'),tensor(0.1232, device='cuda:0'),tensor(0.7090, device='cuda:0'),tensor(-0.6831, device='cuda:0')
tensor(-0.4636, device='cuda:0'),tensor(-0.5874, device='cuda:0'),tensor(0.9735, device='cuda:0'),tensor(0.0707, device='cuda:0')
tensor(-0.9897, device='cuda:0'),tensor(-0.3658, device='cuda:0'),tensor(1.6998, device='cuda:0'),tensor(-0.5065, device='cuda:0')
tensor(1.5347, device='cuda:0'),tensor(0.0010, device='cuda:0'),tensor(-0.7326, device='cuda:0'),tensor(-0.5723, device='cuda:0')
tensor(-0.6698, device='cuda:0'),tensor(-0.2746, device='cuda:0'),tensor(1.1558, device='cuda:0'),tensor(-0.4559, device='cuda:0')
tensor(-0.4973, device='cuda:0'),tensor(-0.6078, device='cuda:0'),tensor(3.1017, device='cuda:0'),tensor(-1.7014, device='cuda:0')
tensor(3.6936, device='cuda:0'),tensor(-1.2991, device='cuda:0'),tensor(-1.5919, device='cuda:0'),tensor(-0.4345, device='cuda:0')
tensor(0.4304, device='cuda:0'),tensor(-0.4245, device='cuda:0'),tensor(0.0136, device='cuda:0'),tensor(0.0789, device='cuda:0')
tensor(0.6247, device='cuda:0'),tensor(-0.5489, device='cuda:0'),tensor(0.6020, device='cuda:0'),tensor(-0.6965, device='cuda:0')
tensor(-1.2270, device='cuda:0'),tensor(0.1850, device='cuda:0'),tensor(0.6974, device='cuda:0'),tensor(0.2716, device='cuda:0')
tensor(3.0557, device='cuda:0'),tensor(0.8499, device='cuda:0'),tensor(-1.4267, device='cuda:0'),tensor(-1.2264, device='cuda:0')
tensor(0.9588, device='cuda:0'),tensor(-1.0241, device='cuda:0'),tensor(-0.4629, device='cuda:0'),tensor(0.8009, device='cuda:0')
tensor(-1.1235, device='cuda:0'),tensor(-0.6082, device='cuda:0'),tensor(3.9061, device='cuda:0'),tensor(-2.0548, device='cuda:0')
tensor(-0.4022, device='cuda:0'),tensor(-0.4770, device='cuda:0'),tensor(0.4359, device='cuda:0'),tensor(0.6525, device='cuda:0')
tensor(3.2607, device='cuda:0'),tensor(0.5840, device='cuda:0'),tensor(-1.8188, device='cuda:0'),tensor(-0.6690, device='cuda:0')
tensor(1.3107, device='cuda:0'),tensor(-1.4090, device='cuda:0'),tensor(-0.2902, device='cuda:0'),tensor(0.3378, device='cuda:0')
tensor(0.6674, device='cuda:0'),tensor(-1.2646, device='cuda:0'),tensor(1.0027, device='cuda:0'),tensor(-0.1853, device='cuda:0')
tensor(-0.0792, device='cuda:0'),tensor(-0.6224, device='cuda:0'),tensor(-0.3826, device='cuda:0'),tensor(0.9083, device='cuda:0')
tensor(0.0178, device='cuda:0'),tensor(0.2398, device='cuda:0'),tensor(0.5867, device='cuda:0'),tensor(-0.4899, device='cuda:0')
tensor(-0.8182, device='cuda:0'),tensor(0.0086, device='cuda:0'),tensor(2.0928, device='cuda:0'),tensor(-1.1507, device='cuda:0')
tensor(-1.3778, device='cuda:0'),tensor(0.2671, device='cuda:0'),tensor(0.8315, device='cuda:0'),tensor(0.5552, device='cuda:0')
tensor(4.1275, device='cuda:0'),tensor(-0.1952, device='cuda:0'),tensor(-1.3250, device='cuda:0'),tensor(-1.5794, device='cuda:0')
tensor(3.2700, device='cuda:0'),tensor(-0.6753, device='cuda:0'),tensor(-0.8879, device='cuda:0'),tensor(-0.5014, device='cuda:0')
tensor(-0.3357, device='cuda:0'),tensor(-0.3918, device='cuda:0'),tensor(0.5611, device='cuda:0'),tensor(0.1499, device='cuda:0')
tensor(-3.8412, device='cuda:0'),tensor(1.8814, device='cuda:0'),tensor(3.6170, device='cuda:0'),tensor(-1.4734, device='cuda:0')
tensor(2.7943, device='cuda:0'),tensor(1.3607, device='cuda:0'),tensor(-1.5394, device='cuda:0'),tensor(-1.2941, device='cuda:0')
tensor(-0.6571, device='cuda:0'),tensor(-0.6705, device='cuda:0'),tensor(2.6145, device='cuda:0'),tensor(-1.0117, device='cuda:0')
tensor(5.3540, device='cuda:0'),tensor(-0.6787, device='cuda:0'),tensor(-2.2691, device='cuda:0'),tensor(-0.8362, device='cuda:0')
tensor(-0.9260, device='cuda:0'),tensor(0.1920, device='cuda:0'),tensor(2.1795, device='cuda:0'),tensor(-1.2512, device='cuda:0')
tensor(-0.4629, device='cuda:0'),tensor(0.5086, device='cuda:0'),tensor(1.5734, device='cuda:0'),tensor(-1.3221, device='cuda:0')
tensor(4.7304, device='cuda:0'),tensor(-0.5837, device='cuda:0'),tensor(-2.0935, device='cuda:0'),tensor(-0.6350, device='cuda:0')
tensor(2.7410, device='cuda:0'),tensor(-1.5847, device='cuda:0'),tensor(-0.7484, device='cuda:0'),tensor(-0.0404, device='cuda:0')
tensor(-0.8230, device='cuda:0'),tensor(-0.3609, device='cuda:0'),tensor(2.4176, device='cuda:0'),tensor(-1.4293, device='cuda:0')
tensor(0.6764, device='cuda:0'),tensor(-0.1549, device='cuda:0'),tensor(-0.1087, device='cuda:0'),tensor(-0.3146, device='cuda:0')
tensor(0.8130, device='cuda:0'),tensor(-0.1597, device='cuda:0'),tensor(-0.1141, device='cuda:0'),tensor(-0.5150, device='cuda:0')
tensor(4.6098, device='cuda:0'),tensor(-0.8153, device='cuda:0'),tensor(-0.7658, device='cuda:0'),tensor(-1.7428, device='cuda:0')
tensor(3.5294, device='cuda:0'),tensor(-0.2179, device='cuda:0'),tensor(-1.3824, device='cuda:0'),tensor(-0.7784, device='cuda:0')
tensor(1.5631, device='cuda:0'),tensor(0.9718, device='cuda:0'),tensor(-1.2975, device='cuda:0'),tensor(-0.5811, device='cuda:0')
tensor(2.9986, device='cuda:0'),tensor(-0.7629, device='cuda:0'),tensor(-0.7231, device='cuda:0'),tensor(-0.8933, device='cuda:0')
tensor(-0.6677, device='cuda:0'),tensor(0.0719, device='cuda:0'),tensor(0.7954, device='cuda:0'),tensor(-0.3844, device='cuda:0')
tensor(0.0797, device='cuda:0'),tensor(0.7640, device='cuda:0'),tensor(1.5211, device='cuda:0'),tensor(-1.8825, device='cuda:0')
tensor(0.3891, device='cuda:0'),tensor(1.1453, device='cuda:0'),tensor(-0.0914, device='cuda:0'),tensor(-1.1097, device='cuda:0')
tensor(2.3331, device='cuda:0'),tensor(-0.4263, device='cuda:0'),tensor(-0.9487, device='cuda:0'),tensor(-0.3161, device='cuda:0')
tensor(-0.3562, device='cuda:0'),tensor(-0.1169, device='cuda:0'),tensor(0.4784, device='cuda:0'),tensor(-0.0756, device='cuda:0')
tensor(1.6492, device='cuda:0'),tensor(-0.4823, device='cuda:0'),tensor(0.6477, device='cuda:0'),tensor(-1.3150, device='cuda:0')
tensor(1.1578, device='cuda:0'),tensor(-0.0885, device='cuda:0'),tensor(-0.5789, device='cuda:0'),tensor(-0.1671, device='cuda:0')
tensor(2.7324, device='cuda:0'),tensor(-0.3627, device='cuda:0'),tensor(-0.5749, device='cuda:0'),tensor(-0.9228, device='cuda:0')
tensor(-0.1539, device='cuda:0'),tensor(0.3118, device='cuda:0'),tensor(-1.1485, device='cuda:0'),tensor(1.6815, device='cuda:0')
tensor(0.0323, device='cuda:0'),tensor(0.0376, device='cuda:0'),tensor(0.4287, device='cuda:0'),tensor(-0.1856, device='cuda:0')
tensor(3.7239, device='cuda:0'),tensor(-0.1570, device='cuda:0'),tensor(-1.7208, device='cuda:0'),tensor(-0.6505, device='cuda:0')
tensor(-1.6703, device='cuda:0'),tensor(2.0061, device='cuda:0'),tensor(0.3266, device='cuda:0'),tensor(-0.2261, device='cuda:0')
tensor(-0.6140, device='cuda:0'),tensor(1.2323, device='cuda:0'),tensor(1.3586, device='cuda:0'),tensor(-1.5396, device='cuda:0')
tensor(4.0050, device='cuda:0'),tensor(0.1458, device='cuda:0'),tensor(-2.1887, device='cuda:0'),tensor(-0.4508, device='cuda:0')
tensor(2.8027, device='cuda:0'),tensor(-0.7888, device='cuda:0'),tensor(-0.6865, device='cuda:0'),tensor(-0.5929, device='cuda:0')
tensor(-1.2578, device='cuda:0'),tensor(0.1008, device='cuda:0'),tensor(2.0346, device='cuda:0'),tensor(-1.1279, device='cuda:0')
tensor(0.8472, device='cuda:0'),tensor(-0.5602, device='cuda:0'),tensor(0.0140, device='cuda:0'),tensor(-0.3466, device='cuda:0')
tensor(0.9904, device='cuda:0'),tensor(0.0671, device='cuda:0'),tensor(-0.2803, device='cuda:0'),tensor(-0.7650, device='cuda:0')
tensor(1.5558, device='cuda:0'),tensor(2.2853, device='cuda:0'),tensor(-1.3883, device='cuda:0'),tensor(-1.2246, device='cuda:0')
tensor(-1.8287, device='cuda:0'),tensor(-0.1271, device='cuda:0'),tensor(3.0997, device='cuda:0'),tensor(-1.1920, device='cuda:0')
tensor(2.7301, device='cuda:0'),tensor(-0.6841, device='cuda:0'),tensor(-0.4083, device='cuda:0'),tensor(-1.1149, device='cuda:0')
tensor(-1.1848, device='cuda:0'),tensor(-0.2391, device='cuda:0'),tensor(1.8256, device='cuda:0'),tensor(-0.6780, device='cuda:0')
tensor(-1.1780, device='cuda:0'),tensor(-0.2678, device='cuda:0'),tensor(-0.3278, device='cuda:0'),tensor(1.8903, device='cuda:0')
tensor(3.8184, device='cuda:0'),tensor(1.6145, device='cuda:0'),tensor(-2.2180, device='cuda:0'),tensor(-1.5065, device='cuda:0')
tensor(-1.9276, device='cuda:0'),tensor(0.1129, device='cuda:0'),tensor(3.6163, device='cuda:0'),tensor(-1.7955, device='cuda:0')
tensor(-1.8593, device='cuda:0'),tensor(0.8671, device='cuda:0'),tensor(0.6439, device='cuda:0'),tensor(0.2512, device='cuda:0')
tensor(1.8203, device='cuda:0'),tensor(2.8362, device='cuda:0'),tensor(-1.5682, device='cuda:0'),tensor(-1.7201, device='cuda:0')
tensor(2.0439, device='cuda:0'),tensor(0.5006, device='cuda:0'),tensor(-1.0705, device='cuda:0'),tensor(-0.4762, device='cuda:0')
tensor(2.1373, device='cuda:0'),tensor(-1.0039, device='cuda:0'),tensor(-0.6013, device='cuda:0'),tensor(0.2082, device='cuda:0')
tensor(-3.5174, device='cuda:0'),tensor(1.9418, device='cuda:0'),tensor(1.7572, device='cuda:0'),tensor(0.0314, device='cuda:0')
tensor(-0.5480, device='cuda:0'),tensor(-0.6737, device='cuda:0'),tensor(2.9261, device='cuda:0'),tensor(-1.6122, device='cuda:0')
tensor(-0.2597, device='cuda:0'),tensor(-0.2696, device='cuda:0'),tensor(2.5725, device='cuda:0'),tensor(-1.5692, device='cuda:0')
tensor(-1.3545, device='cuda:0'),tensor(-0.4097, device='cuda:0'),tensor(2.2677, device='cuda:0'),tensor(-0.5124, device='cuda:0')
tensor(0.5247, device='cuda:0'),tensor(-0.5739, device='cuda:0'),tensor(-0.0620, device='cuda:0'),tensor(0.2416, device='cuda:0')
tensor(-3.5595, device='cuda:0'),tensor(0.5114, device='cuda:0'),tensor(5.0750, device='cuda:0'),tensor(-1.9959, device='cuda:0')
tensor(1.9494, device='cuda:0'),tensor(0.7678, device='cuda:0'),tensor(-0.5423, device='cuda:0'),tensor(-1.9366, device='cuda:0')
tensor(2.0920, device='cuda:0'),tensor(2.1627, device='cuda:0'),tensor(-1.6236, device='cuda:0'),tensor(-1.3744, device='cuda:0')
tensor(1.7473, device='cuda:0'),tensor(-0.5233, device='cuda:0'),tensor(0.2892, device='cuda:0'),tensor(-0.8562, device='cuda:0')
tensor(2.8402, device='cuda:0'),tensor(-0.2510, device='cuda:0'),tensor(-1.1896, device='cuda:0'),tensor(-0.4487, device='cuda:0')
tensor(2.8081, device='cuda:0'),tensor(-0.6657, device='cuda:0'),tensor(-0.9359, device='cuda:0'),tensor(-0.7920, device='cuda:0')
tensor(-1.1635, device='cuda:0'),tensor(2.1391, device='cuda:0'),tensor(1.8831, device='cuda:0'),tensor(-2.5438, device='cuda:0')
tensor(-0.4624, device='cuda:0'),tensor(-0.0564, device='cuda:0'),tensor(0.9345, device='cuda:0'),tensor(-0.4318, device='cuda:0')
tensor(2.8952, device='cuda:0'),tensor(-1.1087, device='cuda:0'),tensor(-0.3019, device='cuda:0'),tensor(-1.5812, device='cuda:0')
tensor(2.5215, device='cuda:0'),tensor(3.1181, device='cuda:0'),tensor(-2.0518, device='cuda:0'),tensor(-2.0062, device='cuda:0')
tensor(4.8319, device='cuda:0'),tensor(-0.4282, device='cuda:0'),tensor(-1.7828, device='cuda:0'),tensor(-1.1902, device='cuda:0')
tensor(-0.4510, device='cuda:0'),tensor(-0.1672, device='cuda:0'),tensor(0.9464, device='cuda:0'),tensor(-0.4054, device='cuda:0')
tensor(-1.8812, device='cuda:0'),tensor(1.7673, device='cuda:0'),tensor(2.5998, device='cuda:0'),tensor(-2.3784, device='cuda:0')
tensor(-0.9850, device='cuda:0'),tensor(0.2071, device='cuda:0'),tensor(3.3342, device='cuda:0'),tensor(-2.3736, device='cuda:0')
tensor(-0.0316, device='cuda:0'),tensor(-0.2703, device='cuda:0'),tensor(0.5278, device='cuda:0'),tensor(-0.1496, device='cuda:0')
tensor(1.4432, device='cuda:0'),tensor(-0.8085, device='cuda:0'),tensor(-0.0047, device='cuda:0'),tensor(-0.0083, device='cuda:0')
tensor(-1.3706, device='cuda:0'),tensor(0.2128, device='cuda:0'),tensor(2.2221, device='cuda:0'),tensor(-1.1378, device='cuda:0')
tensor(-0.5719, device='cuda:0'),tensor(3.3284, device='cuda:0'),tensor(-0.6620, device='cuda:0'),tensor(-1.0415, device='cuda:0')
tensor(0.1501, device='cuda:0'),tensor(0.0601, device='cuda:0'),tensor(0.4058, device='cuda:0'),tensor(-0.6082, device='cuda:0')
tensor(-0.1399, device='cuda:0'),tensor(-0.2466, device='cuda:0'),tensor(0.2815, device='cuda:0'),tensor(0.0780, device='cuda:0')
tensor(-1.4784, device='cuda:0'),tensor(0.4426, device='cuda:0'),tensor(2.3175, device='cuda:0'),tensor(-1.0001, device='cuda:0')
tensor(1.6036, device='cuda:0'),tensor(2.5013, device='cuda:0'),tensor(-2.4148, device='cuda:0'),tensor(-0.3841, device='cuda:0')
tensor(-2.7383, device='cuda:0'),tensor(2.2025, device='cuda:0'),tensor(0.1910, device='cuda:0'),tensor(0.8698, device='cuda:0')
tensor(-1.4549, device='cuda:0'),tensor(-0.0252, device='cuda:0'),tensor(1.9789, device='cuda:0'),tensor(-0.5604, device='cuda:0')
tensor(1.6672, device='cuda:0'),tensor(1.9101, device='cuda:0'),tensor(-1.2448, device='cuda:0'),tensor(-1.0854, device='cuda:0')
tensor(0.0970, device='cuda:0'),tensor(-0.4554, device='cuda:0'),tensor(1.1601, device='cuda:0'),tensor(-0.5367, device='cuda:0')
tensor(-1.5344, device='cuda:0'),tensor(0.6963, device='cuda:0'),tensor(0.1993, device='cuda:0'),tensor(0.5351, device='cuda:0')
tensor(2.2279, device='cuda:0'),tensor(-0.6120, device='cuda:0'),tensor(-0.3553, device='cuda:0'),tensor(-1.1843, device='cuda:0')
tensor(-2.6697, device='cuda:0'),tensor(2.2553, device='cuda:0'),tensor(0.3800, device='cuda:0'),tensor(0.6226, device='cuda:0')
tensor(2.0523, device='cuda:0'),tensor(-0.5715, device='cuda:0'),tensor(0.1911, device='cuda:0'),tensor(-0.9563, device='cuda:0')
tensor(-1.0513, device='cuda:0'),tensor(0.0101, device='cuda:0'),tensor(1.1531, device='cuda:0'),tensor(-0.1358, device='cuda:0')
tensor(-2.8901, device='cuda:0'),tensor(0.0792, device='cuda:0'),tensor(1.4385, device='cuda:0'),tensor(1.1045, device='cuda:0')
tensor(-1.1683, device='cuda:0'),tensor(0.4176, device='cuda:0'),tensor(1.4055, device='cuda:0'),tensor(-0.8420, device='cuda:0')
tensor(0.8850, device='cuda:0'),tensor(0.3106, device='cuda:0'),tensor(-0.2533, device='cuda:0'),tensor(-0.4845, device='cuda:0')
tensor(2.7099, device='cuda:0'),tensor(-0.9110, device='cuda:0'),tensor(-0.4827, device='cuda:0'),tensor(-0.9806, device='cuda:0')
tensor(-0.3331, device='cuda:0'),tensor(-0.5847, device='cuda:0'),tensor(0.0560, device='cuda:0'),tensor(0.8593, device='cuda:0')
tensor(-1.5826, device='cuda:0'),tensor(0.1417, device='cuda:0'),tensor(3.0936, device='cuda:0'),tensor(-0.8537, device='cuda:0')
tensor(1.1777, device='cuda:0'),tensor(-0.8216, device='cuda:0'),tensor(0.0418, device='cuda:0'),tensor(-0.3135, device='cuda:0')
tensor(-2.5100, device='cuda:0'),tensor(0.5700, device='cuda:0'),tensor(3.7833, device='cuda:0'),tensor(-1.8170, device='cuda:0')
tensor(1.8668, device='cuda:0'),tensor(-0.6163, device='cuda:0'),tensor(-0.4298, device='cuda:0'),tensor(-0.6111, device='cuda:0')
tensor(-1.0744, device='cuda:0'),tensor(-0.3800, device='cuda:0'),tensor(2.8784, device='cuda:0'),tensor(-1.3766, device='cuda:0')
tensor(0.7285, device='cuda:0'),tensor(0.8736, device='cuda:0'),tensor(-0.2044, device='cuda:0'),tensor(-1.3529, device='cuda:0')
tensor(0.4215, device='cuda:0'),tensor(-0.6918, device='cuda:0'),tensor(0.5617, device='cuda:0'),tensor(0.0222, device='cuda:0')
tensor(-0.1315, device='cuda:0'),tensor(3.3069, device='cuda:0'),tensor(-0.7423, device='cuda:0'),tensor(-1.4008, device='cuda:0')
tensor(5.0472, device='cuda:0'),tensor(-0.8261, device='cuda:0'),tensor(-1.8037, device='cuda:0'),tensor(-1.1127, device='cuda:0')
tensor(0.2149, device='cuda:0'),tensor(0.5505, device='cuda:0'),tensor(-0.2498, device='cuda:0'),tensor(-0.4434, device='cuda:0')
tensor(0.4901, device='cuda:0'),tensor(-0.5158, device='cuda:0'),tensor(0.5086, device='cuda:0'),tensor(-0.5861, device='cuda:0')
tensor(-2.1165, device='cuda:0'),tensor(0.6017, device='cuda:0'),tensor(1.9769, device='cuda:0'),tensor(-0.7626, device='cuda:0')
tensor(-1.1030, device='cuda:0'),tensor(0.4170, device='cuda:0'),tensor(2.4741, device='cuda:0'),tensor(-1.9396, device='cuda:0')
tensor(-1.2654, device='cuda:0'),tensor(0.7054, device='cuda:0'),tensor(3.3258, device='cuda:0'),tensor(-2.6919, device='cuda:0')
tensor(0.7975, device='cuda:0'),tensor(1.2372, device='cuda:0'),tensor(-1.3419, device='cuda:0'),tensor(0.4379, device='cuda:0')
tensor(-0.4327, device='cuda:0'),tensor(0.5254, device='cuda:0'),tensor(1.2126, device='cuda:0'),tensor(-1.3697, device='cuda:0')
tensor(0.5158, device='cuda:0'),tensor(0.6835, device='cuda:0'),tensor(-0.0761, device='cuda:0'),tensor(-0.9591, device='cuda:0')
tensor(0.0189, device='cuda:0'),tensor(-0.0409, device='cuda:0'),tensor(0.6855, device='cuda:0'),tensor(-0.5631, device='cuda:0')
tensor(0.0347, device='cuda:0'),tensor(-0.2556, device='cuda:0'),tensor(0.5475, device='cuda:0'),tensor(-0.1078, device='cuda:0')
tensor(-1.8888, device='cuda:0'),tensor(-0.9003, device='cuda:0'),tensor(1.8359, device='cuda:0'),tensor(0.8614, device='cuda:0')
tensor(-1.9514, device='cuda:0'),tensor(-0.2309, device='cuda:0'),tensor(1.5799, device='cuda:0'),tensor(0.1398, device='cuda:0')
tensor(-0.5317, device='cuda:0'),tensor(1.2096, device='cuda:0'),tensor(1.5707, device='cuda:0'),tensor(-1.8578, device='cuda:0')
tensor(1.7209, device='cuda:0'),tensor(-1.3420, device='cuda:0'),tensor(-0.9471, device='cuda:0'),tensor(1.1133, device='cuda:0')
tensor(-2.3423, device='cuda:0'),tensor(0.3009, device='cuda:0'),tensor(2.9482, device='cuda:0'),tensor(-1.0918, device='cuda:0')
tensor(4.4341, device='cuda:0'),tensor(-0.2810, device='cuda:0'),tensor(-1.8706, device='cuda:0'),tensor(-0.8375, device='cuda:0')
tensor(-0.3146, device='cuda:0'),tensor(-0.3671, device='cuda:0'),tensor(1.9457, device='cuda:0'),tensor(-0.9261, device='cuda:0')
tensor(4.5133, device='cuda:0'),tensor(-0.7396, device='cuda:0'),tensor(-1.6502, device='cuda:0'),tensor(-0.7761, device='cuda:0')
tensor(-1.3495, device='cuda:0'),tensor(-0.2753, device='cuda:0'),tensor(3.4074, device='cuda:0'),tensor(-1.7146, device='cuda:0')
tensor(-1.9404, device='cuda:0'),tensor(2.7747, device='cuda:0'),tensor(0.5036, device='cuda:0'),tensor(-0.6271, device='cuda:0')
tensor(-0.2296, device='cuda:0'),tensor(-0.3827, device='cuda:0'),tensor(1.0873, device='cuda:0'),tensor(-0.3067, device='cuda:0')
tensor(5.3547, device='cuda:0'),tensor(-1.4015, device='cuda:0'),tensor(-1.5363, device='cuda:0'),tensor(-1.1720, device='cuda:0')
tensor(2.7531, device='cuda:0'),tensor(0.3095, device='cuda:0'),tensor(-1.3032, device='cuda:0'),tensor(-0.8719, device='cuda:0')
tensor(3.9196, device='cuda:0'),tensor(-0.2729, device='cuda:0'),tensor(-1.3351, device='cuda:0'),tensor(-1.1347, device='cuda:0')
tensor(2.1160, device='cuda:0'),tensor(-1.1931, device='cuda:0'),tensor(-1.0493, device='cuda:0'),tensor(0.5217, device='cuda:0')
tensor(1.8041, device='cuda:0'),tensor(0.3904, device='cuda:0'),tensor(-0.7610, device='cuda:0'),tensor(-1.0772, device='cuda:0')
tensor(-1.4175, device='cuda:0'),tensor(-0.3910, device='cuda:0'),tensor(3.0273, device='cuda:0'),tensor(-1.1279, device='cuda:0')
tensor(-1.2769, device='cuda:0'),tensor(0.1604, device='cuda:0'),tensor(3.5077, device='cuda:0'),tensor(-2.1941, device='cuda:0')
