"tensor(1.7431, device='cuda:0')","tensor(-1.7767, device='cuda:0')"
"tensor(-0.0151, device='cuda:0')","tensor(0.0764, device='cuda:0')"
"tensor(1.8930, device='cuda:0')","tensor(-1.9348, device='cuda:0')"
"tensor(1.8379, device='cuda:0')","tensor(-1.8769, device='cuda:0')"
"tensor(1.6280, device='cuda:0')","tensor(-1.6557, device='cuda:0')"
"tensor(1.4337, device='cuda:0')","tensor(-1.4462, device='cuda:0')"
"tensor(1.4890, device='cuda:0')","tensor(-1.5038, device='cuda:0')"
"tensor(1.6286, device='cuda:0')","tensor(-1.6565, device='cuda:0')"
"tensor(1.6174, device='cuda:0')","tensor(-1.6441, device='cuda:0')"
"tensor(1.7804, device='cuda:0')","tensor(-1.8160, device='cuda:0')"
"tensor(1.5927, device='cuda:0')","tensor(-1.6172, device='cuda:0')"
"tensor(1.6490, device='cuda:0')","tensor(-1.6782, device='cuda:0')"
"tensor(1.1390, device='cuda:0')","tensor(-1.1268, device='cuda:0')"
"tensor(-4.2333, device='cuda:0')","tensor(4.5608, device='cuda:0')"
"tensor(-4.8815, device='cuda:0')","tensor(5.2722, device='cuda:0')"
"tensor(-4.3689, device='cuda:0')","tensor(4.7040, device='cuda:0')"
"tensor(0.9103, device='cuda:0')","tensor(-0.9006, device='cuda:0')"
"tensor(-4.2335, device='cuda:0')","tensor(4.5610, device='cuda:0')"
"tensor(0.2450, device='cuda:0')","tensor(-0.1848, device='cuda:0')"
"tensor(-3.6736, device='cuda:0')","tensor(3.9980, device='cuda:0')"
"tensor(-3.0168, device='cuda:0')","tensor(3.2907, device='cuda:0')"
"tensor(-3.4444, device='cuda:0')","tensor(3.7150, device='cuda:0')"
"tensor(-2.9039, device='cuda:0')","tensor(3.1535, device='cuda:0')"
"tensor(-4.1060, device='cuda:0')","tensor(4.4809, device='cuda:0')"
"tensor(-4.1727, device='cuda:0')","tensor(4.5413, device='cuda:0')"
"tensor(-5.3684, device='cuda:0')","tensor(5.7854, device='cuda:0')"
"tensor(-3.3049, device='cuda:0')","tensor(3.5663, device='cuda:0')"
"tensor(-2.6390, device='cuda:0')","tensor(2.8962, device='cuda:0')"
"tensor(-4.7061, device='cuda:0')","tensor(5.0978, device='cuda:0')"
"tensor(-3.4947, device='cuda:0')","tensor(3.7715, device='cuda:0')"
"tensor(-2.3400, device='cuda:0')","tensor(2.6176, device='cuda:0')"
"tensor(-4.5922, device='cuda:0')","tensor(4.9477, device='cuda:0')"
"tensor(-3.2228, device='cuda:0')","tensor(3.4839, device='cuda:0')"
"tensor(-6.4537, device='cuda:0')","tensor(6.9563, device='cuda:0')"
"tensor(-2.9452, device='cuda:0')","tensor(3.2000, device='cuda:0')"
"tensor(-2.8281, device='cuda:0')","tensor(3.0714, device='cuda:0')"
"tensor(-2.4845, device='cuda:0')","tensor(2.7294, device='cuda:0')"
"tensor(-1.3262, device='cuda:0')","tensor(1.5650, device='cuda:0')"
"tensor(-3.3029, device='cuda:0')","tensor(3.5841, device='cuda:0')"
"tensor(-6.3848, device='cuda:0')","tensor(6.8592, device='cuda:0')"
"tensor(-4.6808, device='cuda:0')","tensor(5.0430, device='cuda:0')"
"tensor(-3.8620, device='cuda:0')","tensor(4.1675, device='cuda:0')"
"tensor(-4.0533, device='cuda:0')","tensor(4.4164, device='cuda:0')"
"tensor(-4.6807, device='cuda:0')","tensor(5.0349, device='cuda:0')"
"tensor(-2.8748, device='cuda:0')","tensor(3.1275, device='cuda:0')"
"tensor(-3.4453, device='cuda:0')","tensor(3.7352, device='cuda:0')"
"tensor(-3.3886, device='cuda:0')","tensor(3.6711, device='cuda:0')"
"tensor(-2.7088, device='cuda:0')","tensor(2.9436, device='cuda:0')"
"tensor(-3.4063, device='cuda:0')","tensor(3.6743, device='cuda:0')"
"tensor(-2.8007, device='cuda:0')","tensor(3.0698, device='cuda:0')"
"tensor(0.5822, device='cuda:0')","tensor(-0.5478, device='cuda:0')"
"tensor(-3.3474, device='cuda:0')","tensor(3.6113, device='cuda:0')"
"tensor(-3.4063, device='cuda:0')","tensor(3.6743, device='cuda:0')"
"tensor(-3.6425, device='cuda:0')","tensor(3.9298, device='cuda:0')"
"tensor(-3.5092, device='cuda:0')","tensor(3.7832, device='cuda:0')"
"tensor(-4.5987, device='cuda:0')","tensor(4.9605, device='cuda:0')"
"tensor(-3.3345, device='cuda:0')","tensor(3.6133, device='cuda:0')"
"tensor(-3.5070, device='cuda:0')","tensor(3.7909, device='cuda:0')"
"tensor(-4.7324, device='cuda:0')","tensor(5.1158, device='cuda:0')"
"tensor(-3.4252, device='cuda:0')","tensor(3.6922, device='cuda:0')"
"tensor(-3.1337, device='cuda:0')","tensor(3.3916, device='cuda:0')"
"tensor(-3.1240, device='cuda:0')","tensor(3.3841, device='cuda:0')"
"tensor(-3.6026, device='cuda:0')","tensor(3.8975, device='cuda:0')"
"tensor(-0.5213, device='cuda:0')","tensor(0.6315, device='cuda:0')"
"tensor(-4.2126, device='cuda:0')","tensor(4.5440, device='cuda:0')"
"tensor(-3.4644, device='cuda:0')","tensor(3.7382, device='cuda:0')"
"tensor(-4.9102, device='cuda:0')","tensor(5.3087, device='cuda:0')"
"tensor(-3.7727, device='cuda:0')","tensor(4.0750, device='cuda:0')"
"tensor(-0.2248, device='cuda:0')","tensor(0.3581, device='cuda:0')"
"tensor(-3.6193, device='cuda:0')","tensor(3.9145, device='cuda:0')"
"tensor(-3.2032, device='cuda:0')","tensor(3.4802, device='cuda:0')"
"tensor(-4.0142, device='cuda:0')","tensor(4.3260, device='cuda:0')"
"tensor(-3.5469, device='cuda:0')","tensor(3.8397, device='cuda:0')"
"tensor(-3.3895, device='cuda:0')","tensor(3.6547, device='cuda:0')"
"tensor(-3.7500, device='cuda:0')","tensor(4.0525, device='cuda:0')"
"tensor(-3.3523, device='cuda:0')","tensor(3.6195, device='cuda:0')"
"tensor(-4.0835, device='cuda:0')","tensor(4.4018, device='cuda:0')"
"tensor(-3.0371, device='cuda:0')","tensor(3.2936, device='cuda:0')"
"tensor(-4.1194, device='cuda:0')","tensor(4.4670, device='cuda:0')"
"tensor(-3.5198, device='cuda:0')","tensor(3.8130, device='cuda:0')"
"tensor(-3.7580, device='cuda:0')","tensor(4.0590, device='cuda:0')"
"tensor(-2.9237, device='cuda:0')","tensor(3.1663, device='cuda:0')"
"tensor(-3.5022, device='cuda:0')","tensor(3.7922, device='cuda:0')"
"tensor(-3.3624, device='cuda:0')","tensor(3.6472, device='cuda:0')"
"tensor(-3.8215, device='cuda:0')","tensor(4.1250, device='cuda:0')"
"tensor(-3.5092, device='cuda:0')","tensor(3.7832, device='cuda:0')"
"tensor(-3.7258, device='cuda:0')","tensor(4.0266, device='cuda:0')"
"tensor(-3.6118, device='cuda:0')","tensor(3.9067, device='cuda:0')"
"tensor(-3.9294, device='cuda:0')","tensor(4.2358, device='cuda:0')"
"tensor(-3.9917, device='cuda:0')","tensor(4.3024, device='cuda:0')"
"tensor(-3.5696, device='cuda:0')","tensor(3.8521, device='cuda:0')"
"tensor(-3.2630, device='cuda:0')","tensor(3.5228, device='cuda:0')"
"tensor(-3.8693, device='cuda:0')","tensor(4.1746, device='cuda:0')"
