"tensor(-0.5754, device='cuda:0')","tensor(-0.8267, device='cuda:0')"
"tensor(-0.4487, device='cuda:0')","tensor(-1.0173, device='cuda:0')"
"tensor(-0.7754, device='cuda:0')","tensor(-0.6172, device='cuda:0')"
"tensor(-0.4184, device='cuda:0')","tensor(-1.0732, device='cuda:0')"
"tensor(-0.1697, device='cuda:0')","tensor(-1.8573, device='cuda:0')"
"tensor(-0.6820, device='cuda:0')","tensor(-0.7044, device='cuda:0')"
"tensor(-0.0267, device='cuda:0')","tensor(-3.6361, device='cuda:0')"
"tensor(-0.4030, device='cuda:0')","tensor(-1.1036, device='cuda:0')"
"tensor(-0.0319, device='cuda:0')","tensor(-3.4615, device='cuda:0')"
"tensor(-3.3785, device='cuda:0')","tensor(-0.0347, device='cuda:0')"
"tensor(-4.4964, device='cuda:0')","tensor(-0.0112, device='cuda:0')"
"tensor(-2.5817, device='cuda:0')","tensor(-0.0787, device='cuda:0')"
"tensor(-2.5281, device='cuda:0')","tensor(-0.0832, device='cuda:0')"
"tensor(-2.5796, device='cuda:0')","tensor(-0.0788, device='cuda:0')"
"tensor(-2.2774, device='cuda:0')","tensor(-0.1082, device='cuda:0')"
"tensor(-3.0287, device='cuda:0')","tensor(-0.0496, device='cuda:0')"
"tensor(-2.5756, device='cuda:0')","tensor(-0.0792, device='cuda:0')"
"tensor(-2.5789, device='cuda:0')","tensor(-0.0789, device='cuda:0')"
"tensor(-2.5829, device='cuda:0')","tensor(-0.0786, device='cuda:0')"
"tensor(-5.0715, device='cuda:0')","tensor(-0.0063, device='cuda:0')"
"tensor(-6.6296, device='cuda:0')","tensor(-0.0013, device='cuda:0')"
"tensor(-2.5801, device='cuda:0')","tensor(-0.0788, device='cuda:0')"
"tensor(-2.5771, device='cuda:0')","tensor(-0.0790, device='cuda:0')"
"tensor(-2.5302, device='cuda:0')","tensor(-0.0830, device='cuda:0')"
"tensor(-2.5817, device='cuda:0')","tensor(-0.0787, device='cuda:0')"
"tensor(-2.5819, device='cuda:0')","tensor(-0.0786, device='cuda:0')"
"tensor(-3.4142, device='cuda:0')","tensor(-0.0335, device='cuda:0')"
"tensor(-2.5796, device='cuda:0')","tensor(-0.0788, device='cuda:0')"
"tensor(-2.5793, device='cuda:0')","tensor(-0.0789, device='cuda:0')"
"tensor(-2.5777, device='cuda:0')","tensor(-0.0790, device='cuda:0')"
"tensor(-2.6753, device='cuda:0')","tensor(-0.0714, device='cuda:0')"
"tensor(-2.5763, device='cuda:0')","tensor(-0.0791, device='cuda:0')"
"tensor(-2.3193, device='cuda:0')","tensor(-0.1035, device='cuda:0')"
"tensor(-3.4238, device='cuda:0')","tensor(-0.0331, device='cuda:0')"
"tensor(-5.2789, device='cuda:0')","tensor(-0.0051, device='cuda:0')"
"tensor(-5.3330, device='cuda:0')","tensor(-0.0048, device='cuda:0')"
"tensor(-3.3550, device='cuda:0')","tensor(-0.0355, device='cuda:0')"
"tensor(-3.8056, device='cuda:0')","tensor(-0.0225, device='cuda:0')"
"tensor(-4.2006, device='cuda:0')","tensor(-0.0151, device='cuda:0')"
"tensor(-2.5803, device='cuda:0')","tensor(-0.0788, device='cuda:0')"
"tensor(-2.5526, device='cuda:0')","tensor(-0.0811, device='cuda:0')"
"tensor(-2.5778, device='cuda:0')","tensor(-0.0790, device='cuda:0')"
"tensor(-2.5819, device='cuda:0')","tensor(-0.0786, device='cuda:0')"
"tensor(-2.5816, device='cuda:0')","tensor(-0.0787, device='cuda:0')"
"tensor(-2.5780, device='cuda:0')","tensor(-0.0790, device='cuda:0')"
"tensor(-2.6651, device='cuda:0')","tensor(-0.0721, device='cuda:0')"
"tensor(-3.0729, device='cuda:0')","tensor(-0.0474, device='cuda:0')"
"tensor(-2.5841, device='cuda:0')","tensor(-0.0785, device='cuda:0')"
"tensor(-2.5793, device='cuda:0')","tensor(-0.0789, device='cuda:0')"
"tensor(-2.5820, device='cuda:0')","tensor(-0.0786, device='cuda:0')"
"tensor(-2.5817, device='cuda:0')","tensor(-0.0787, device='cuda:0')"
"tensor(-2.5800, device='cuda:0')","tensor(-0.0788, device='cuda:0')"
"tensor(-2.5787, device='cuda:0')","tensor(-0.0789, device='cuda:0')"
"tensor(-2.7429, device='cuda:0')","tensor(-0.0665, device='cuda:0')"
"tensor(-4.8723, device='cuda:0')","tensor(-0.0077, device='cuda:0')"
"tensor(-2.5822, device='cuda:0')","tensor(-0.0786, device='cuda:0')"
"tensor(-2.5795, device='cuda:0')","tensor(-0.0788, device='cuda:0')"
"tensor(-2.5872, device='cuda:0')","tensor(-0.0782, device='cuda:0')"
"tensor(-4.1887, device='cuda:0')","tensor(-0.0153, device='cuda:0')"
"tensor(-2.4925, device='cuda:0')","tensor(-0.0863, device='cuda:0')"
"tensor(-2.5797, device='cuda:0')","tensor(-0.0788, device='cuda:0')"
"tensor(-2.5828, device='cuda:0')","tensor(-0.0786, device='cuda:0')"
"tensor(-3.0811, device='cuda:0')","tensor(-0.0470, device='cuda:0')"
"tensor(-4.6858, device='cuda:0')","tensor(-0.0093, device='cuda:0')"
"tensor(-3.1775, device='cuda:0')","tensor(-0.0426, device='cuda:0')"
"tensor(-5.3068, device='cuda:0')","tensor(-0.0050, device='cuda:0')"
"tensor(-4.0671, device='cuda:0')","tensor(-0.0173, device='cuda:0')"
"tensor(-3.6692, device='cuda:0')","tensor(-0.0258, device='cuda:0')"
"tensor(-4.2541, device='cuda:0')","tensor(-0.0143, device='cuda:0')"
"tensor(-2.5821, device='cuda:0')","tensor(-0.0786, device='cuda:0')"
"tensor(-2.5815, device='cuda:0')","tensor(-0.0787, device='cuda:0')"
"tensor(-2.5819, device='cuda:0')","tensor(-0.0786, device='cuda:0')"
"tensor(-3.6996, device='cuda:0')","tensor(-0.0250, device='cuda:0')"
"tensor(-2.5809, device='cuda:0')","tensor(-0.0787, device='cuda:0')"
"tensor(-2.5813, device='cuda:0')","tensor(-0.0787, device='cuda:0')"
"tensor(-4.5332, device='cuda:0')","tensor(-0.0108, device='cuda:0')"
"tensor(-5.4871, device='cuda:0')","tensor(-0.0041, device='cuda:0')"
"tensor(-2.5818, device='cuda:0')","tensor(-0.0786, device='cuda:0')"
"tensor(-5.0214, device='cuda:0')","tensor(-0.0066, device='cuda:0')"
"tensor(-4.4243, device='cuda:0')","tensor(-0.0121, device='cuda:0')"
"tensor(-4.3281, device='cuda:0')","tensor(-0.0133, device='cuda:0')"
"tensor(-2.5816, device='cuda:0')","tensor(-0.0787, device='cuda:0')"
"tensor(-4.1273, device='cuda:0')","tensor(-0.0163, device='cuda:0')"
"tensor(-4.8246, device='cuda:0')","tensor(-0.0081, device='cuda:0')"
"tensor(-4.0295, device='cuda:0')","tensor(-0.0179, device='cuda:0')"
"tensor(-3.9282, device='cuda:0')","tensor(-0.0199, device='cuda:0')"
"tensor(-2.5801, device='cuda:0')","tensor(-0.0788, device='cuda:0')"
"tensor(-2.5776, device='cuda:0')","tensor(-0.0790, device='cuda:0')"
"tensor(-6.3322, device='cuda:0')","tensor(-0.0018, device='cuda:0')"
