"tensor(0.5333, device='cuda:0')","tensor(-0.7645, device='cuda:0')"
"tensor(-0.4332, device='cuda:0')","tensor(0.5725, device='cuda:0')"
"tensor(-0.2192, device='cuda:0')","tensor(0.3182, device='cuda:0')"
"tensor(-0.5884, device='cuda:0')","tensor(0.7737, device='cuda:0')"
"tensor(-0.3384, device='cuda:0')","tensor(0.4717, device='cuda:0')"
"tensor(-0.6113, device='cuda:0')","tensor(0.7951, device='cuda:0')"
"tensor(-0.2612, device='cuda:0')","tensor(0.3213, device='cuda:0')"
"tensor(-0.4478, device='cuda:0')","tensor(0.7540, device='cuda:0')"
"tensor(-0.4943, device='cuda:0')","tensor(0.6631, device='cuda:0')"
"tensor(-0.3250, device='cuda:0')","tensor(0.3765, device='cuda:0')"
"tensor(-0.7997, device='cuda:0')","tensor(1.0638, device='cuda:0')"
"tensor(-0.5005, device='cuda:0')","tensor(0.6711, device='cuda:0')"
"tensor(-0.0215, device='cuda:0')","tensor(-0.0282, device='cuda:0')"
"tensor(-0.7643, device='cuda:0')","tensor(1.0392, device='cuda:0')"
"tensor(-0.4283, device='cuda:0')","tensor(0.5502, device='cuda:0')"
"tensor(-1.1594, device='cuda:0')","tensor(1.5716, device='cuda:0')"
"tensor(-0.3029, device='cuda:0')","tensor(0.4186, device='cuda:0')"
"tensor(-0.2569, device='cuda:0')","tensor(0.2574, device='cuda:0')"
"tensor(-0.2261, device='cuda:0')","tensor(0.2837, device='cuda:0')"
"tensor(-0.0146, device='cuda:0')","tensor(-0.0132, device='cuda:0')"
"tensor(-0.4100, device='cuda:0')","tensor(0.5655, device='cuda:0')"
"tensor(-0.9598, device='cuda:0')","tensor(1.3680, device='cuda:0')"
"tensor(-0.8406, device='cuda:0')","tensor(1.1144, device='cuda:0')"
"tensor(-0.9224, device='cuda:0')","tensor(1.3408, device='cuda:0')"
"tensor(-0.4605, device='cuda:0')","tensor(0.6065, device='cuda:0')"
"tensor(-0.9570, device='cuda:0')","tensor(1.2947, device='cuda:0')"
"tensor(-0.4640, device='cuda:0')","tensor(0.6204, device='cuda:0')"
"tensor(-0.3523, device='cuda:0')","tensor(0.4787, device='cuda:0')"
"tensor(-0.5222, device='cuda:0')","tensor(0.6851, device='cuda:0')"
"tensor(-0.0473, device='cuda:0')","tensor(-0.0315, device='cuda:0')"
"tensor(-0.5978, device='cuda:0')","tensor(0.8378, device='cuda:0')"
"tensor(-0.2725, device='cuda:0')","tensor(0.3630, device='cuda:0')"
"tensor(0.3913, device='cuda:0')","tensor(-0.6116, device='cuda:0')"
"tensor(-0.4750, device='cuda:0')","tensor(0.6664, device='cuda:0')"
"tensor(-0.5645, device='cuda:0')","tensor(0.7870, device='cuda:0')"
"tensor(-0.4168, device='cuda:0')","tensor(0.5944, device='cuda:0')"
"tensor(-0.4400, device='cuda:0')","tensor(0.6106, device='cuda:0')"
"tensor(-0.7158, device='cuda:0')","tensor(0.9622, device='cuda:0')"
"tensor(-0.4689, device='cuda:0')","tensor(0.6588, device='cuda:0')"
"tensor(-0.4212, device='cuda:0')","tensor(0.5643, device='cuda:0')"
"tensor(-1.1870, device='cuda:0')","tensor(1.5063, device='cuda:0')"
"tensor(-0.5381, device='cuda:0')","tensor(0.7265, device='cuda:0')"
"tensor(-0.4094, device='cuda:0')","tensor(0.5464, device='cuda:0')"
"tensor(-0.5117, device='cuda:0')","tensor(0.6942, device='cuda:0')"
"tensor(-0.4614, device='cuda:0')","tensor(0.6337, device='cuda:0')"
"tensor(-0.1376, device='cuda:0')","tensor(0.2246, device='cuda:0')"
"tensor(-0.6399, device='cuda:0')","tensor(0.8781, device='cuda:0')"
"tensor(-0.5380, device='cuda:0')","tensor(0.7285, device='cuda:0')"
"tensor(-1.1007, device='cuda:0')","tensor(1.4498, device='cuda:0')"
"tensor(-0.6610, device='cuda:0')","tensor(0.9066, device='cuda:0')"
"tensor(0.2174, device='cuda:0')","tensor(-0.3750, device='cuda:0')"
"tensor(-0.5801, device='cuda:0')","tensor(0.7962, device='cuda:0')"
"tensor(0.1080, device='cuda:0')","tensor(-0.1694, device='cuda:0')"
"tensor(-1.0457, device='cuda:0')","tensor(1.5143, device='cuda:0')"
"tensor(-0.4918, device='cuda:0')","tensor(0.6766, device='cuda:0')"
"tensor(-0.5279, device='cuda:0')","tensor(0.7388, device='cuda:0')"
"tensor(-0.6591, device='cuda:0')","tensor(0.9074, device='cuda:0')"
"tensor(-0.3699, device='cuda:0')","tensor(0.4716, device='cuda:0')"
"tensor(-0.9532, device='cuda:0')","tensor(1.1995, device='cuda:0')"
"tensor(-0.4884, device='cuda:0')","tensor(0.6582, device='cuda:0')"
"tensor(-0.5261, device='cuda:0')","tensor(0.7138, device='cuda:0')"
"tensor(-0.4768, device='cuda:0')","tensor(0.6510, device='cuda:0')"
"tensor(-0.7089, device='cuda:0')","tensor(0.9732, device='cuda:0')"
"tensor(-0.3975, device='cuda:0')","tensor(0.5141, device='cuda:0')"
"tensor(-0.4983, device='cuda:0')","tensor(0.6825, device='cuda:0')"
"tensor(-0.3827, device='cuda:0')","tensor(0.5196, device='cuda:0')"
"tensor(-0.7635, device='cuda:0')","tensor(1.0678, device='cuda:0')"
"tensor(-0.4160, device='cuda:0')","tensor(0.5695, device='cuda:0')"
"tensor(-0.5888, device='cuda:0')","tensor(0.8142, device='cuda:0')"
"tensor(-0.5604, device='cuda:0')","tensor(0.7684, device='cuda:0')"
"tensor(-0.9020, device='cuda:0')","tensor(1.2915, device='cuda:0')"
"tensor(-1.0190, device='cuda:0')","tensor(1.4882, device='cuda:0')"
"tensor(-0.5735, device='cuda:0')","tensor(0.7775, device='cuda:0')"
"tensor(-0.5216, device='cuda:0')","tensor(0.7309, device='cuda:0')"
"tensor(-0.7796, device='cuda:0')","tensor(1.0854, device='cuda:0')"
