tensor(1.6056, device='cuda:0'),tensor(1.3695, device='cuda:0'),tensor(-2.0579, device='cuda:0'),tensor(-0.9957, device='cuda:0')
tensor(-2.1968, device='cuda:0'),tensor(0.6309, device='cuda:0'),tensor(2.4102, device='cuda:0'),tensor(-1.2847, device='cuda:0')
tensor(1.7171, device='cuda:0'),tensor(-1.0306, device='cuda:0'),tensor(0.1592, device='cuda:0'),tensor(-0.8254, device='cuda:0')
tensor(1.6412, device='cuda:0'),tensor(0.1333, device='cuda:0'),tensor(-0.8589, device='cuda:0'),tensor(-1.1310, device='cuda:0')
tensor(1.6778, device='cuda:0'),tensor(1.5566, device='cuda:0'),tensor(-2.3465, device='cuda:0'),tensor(-0.9965, device='cuda:0')
tensor(-2.6064, device='cuda:0'),tensor(-0.3523, device='cuda:0'),tensor(3.8273, device='cuda:0'),tensor(-1.2778, device='cuda:0')
tensor(3.7236, device='cuda:0'),tensor(-0.5298, device='cuda:0'),tensor(-0.8125, device='cuda:0'),tensor(-2.3490, device='cuda:0')
tensor(-1.6936, device='cuda:0'),tensor(0.0625, device='cuda:0'),tensor(1.6069, device='cuda:0'),tensor(-0.3763, device='cuda:0')
tensor(-2.3690, device='cuda:0'),tensor(0.6318, device='cuda:0'),tensor(0.0381, device='cuda:0'),tensor(1.2201, device='cuda:0')
tensor(3.9598, device='cuda:0'),tensor(0.8508, device='cuda:0'),tensor(-3.6992, device='cuda:0'),tensor(-1.0102, device='cuda:0')
tensor(-3.0521, device='cuda:0'),tensor(0.8254, device='cuda:0'),tensor(4.3085, device='cuda:0'),tensor(-2.6608, device='cuda:0')
tensor(-3.2580, device='cuda:0'),tensor(1.6208, device='cuda:0'),tensor(0.8700, device='cuda:0'),tensor(0.2849, device='cuda:0')
tensor(1.8588, device='cuda:0'),tensor(2.5847, device='cuda:0'),tensor(-2.6128, device='cuda:0'),tensor(-2.0129, device='cuda:0')
tensor(2.1075, device='cuda:0'),tensor(-0.2991, device='cuda:0'),tensor(-2.2857, device='cuda:0'),tensor(0.4452, device='cuda:0')
tensor(3.6248, device='cuda:0'),tensor(-1.5687, device='cuda:0'),tensor(-1.5263, device='cuda:0'),tensor(-0.3188, device='cuda:0')
tensor(-5.0471, device='cuda:0'),tensor(1.6529, device='cuda:0'),tensor(3.3160, device='cuda:0'),tensor(-0.5862, device='cuda:0')
tensor(-1.2309, device='cuda:0'),tensor(-1.0874, device='cuda:0'),tensor(4.7047, device='cuda:0'),tensor(-2.8125, device='cuda:0')
tensor(-1.3795, device='cuda:0'),tensor(0.2990, device='cuda:0'),tensor(3.5974, device='cuda:0'),tensor(-2.8681, device='cuda:0')
tensor(-2.5589, device='cuda:0'),tensor(-0.0687, device='cuda:0'),tensor(4.1608, device='cuda:0'),tensor(-2.0022, device='cuda:0')
tensor(0.2905, device='cuda:0'),tensor(-0.8799, device='cuda:0'),tensor(0.0132, device='cuda:0'),tensor(0.4229, device='cuda:0')
tensor(-5.3935, device='cuda:0'),tensor(1.1729, device='cuda:0'),tensor(7.4211, device='cuda:0'),tensor(-4.0648, device='cuda:0')
tensor(2.3330, device='cuda:0'),tensor(0.3265, device='cuda:0'),tensor(-0.9556, device='cuda:0'),tensor(-1.8129, device='cuda:0')
tensor(1.3418, device='cuda:0'),tensor(2.0931, device='cuda:0'),tensor(-2.3342, device='cuda:0'),tensor(-1.2970, device='cuda:0')
tensor(1.7891, device='cuda:0'),tensor(-1.2282, device='cuda:0'),tensor(-0.3158, device='cuda:0'),tensor(-0.3299, device='cuda:0')
tensor(2.2615, device='cuda:0'),tensor(-0.3815, device='cuda:0'),tensor(-1.8493, device='cuda:0'),tensor(-0.1076, device='cuda:0')
tensor(3.4709, device='cuda:0'),tensor(-0.1991, device='cuda:0'),tensor(-1.2451, device='cuda:0'),tensor(-2.0715, device='cuda:0')
tensor(-0.4883, device='cuda:0'),tensor(3.1548, device='cuda:0'),tensor(1.2899, device='cuda:0'),tensor(-4.3159, device='cuda:0')
tensor(-0.5773, device='cuda:0'),tensor(0.2271, device='cuda:0'),tensor(1.0840, device='cuda:0'),tensor(-1.0720, device='cuda:0')
tensor(5.6924, device='cuda:0'),tensor(-1.9810, device='cuda:0'),tensor(-1.1786, device='cuda:0'),tensor(-2.2708, device='cuda:0')
tensor(2.3521, device='cuda:0'),tensor(2.5546, device='cuda:0'),tensor(-3.5796, device='cuda:0'),tensor(-1.4778, device='cuda:0')
tensor(5.6326, device='cuda:0'),tensor(-0.5901, device='cuda:0'),tensor(-2.9099, device='cuda:0'),tensor(-1.8773, device='cuda:0')
tensor(-0.2462, device='cuda:0'),tensor(-0.2664, device='cuda:0'),tensor(0.9259, device='cuda:0'),tensor(-0.6486, device='cuda:0')
tensor(-2.6032, device='cuda:0'),tensor(2.3549, device='cuda:0'),tensor(2.1709, device='cuda:0'),tensor(-2.5076, device='cuda:0')
tensor(-0.4679, device='cuda:0'),tensor(-0.2270, device='cuda:0'),tensor(3.2206, device='cuda:0'),tensor(-2.8044, device='cuda:0')
tensor(0.5198, device='cuda:0'),tensor(-0.1154, device='cuda:0'),tensor(-0.3287, device='cuda:0'),tensor(-0.2038, device='cuda:0')
tensor(2.1095, device='cuda:0'),tensor(-0.6749, device='cuda:0'),tensor(-0.1555, device='cuda:0'),tensor(-1.2958, device='cuda:0')
tensor(-2.5935, device='cuda:0'),tensor(0.4440, device='cuda:0'),tensor(3.0779, device='cuda:0'),tensor(-1.3840, device='cuda:0')
tensor(-0.5904, device='cuda:0'),tensor(3.1724, device='cuda:0'),tensor(-1.1939, device='cuda:0'),tensor(-1.8824, device='cuda:0')
tensor(0.5807, device='cuda:0'),tensor(-0.4256, device='cuda:0'),tensor(0.2589, device='cuda:0'),tensor(-0.5923, device='cuda:0')
tensor(-0.0599, device='cuda:0'),tensor(-0.1738, device='cuda:0'),tensor(0.1360, device='cuda:0'),tensor(-0.0936, device='cuda:0')
tensor(-2.4457, device='cuda:0'),tensor(1.0144, device='cuda:0'),tensor(3.1802, device='cuda:0'),tensor(-2.2119, device='cuda:0')
tensor(2.8925, device='cuda:0'),tensor(0.5926, device='cuda:0'),tensor(-2.9580, device='cuda:0'),tensor(-0.5507, device='cuda:0')
tensor(-3.9275, device='cuda:0'),tensor(1.8614, device='cuda:0'),tensor(0.6166, device='cuda:0'),tensor(0.9483, device='cuda:0')
tensor(-1.5185, device='cuda:0'),tensor(0.0226, device='cuda:0'),tensor(2.2716, device='cuda:0'),tensor(-1.1532, device='cuda:0')
tensor(1.4932, device='cuda:0'),tensor(1.5253, device='cuda:0'),tensor(-2.0333, device='cuda:0'),tensor(-1.0983, device='cuda:0')
tensor(-1.1313, device='cuda:0'),tensor(-0.1619, device='cuda:0'),tensor(2.1600, device='cuda:0'),tensor(-1.1955, device='cuda:0')
tensor(-2.1994, device='cuda:0'),tensor(0.5180, device='cuda:0'),tensor(1.0423, device='cuda:0'),tensor(0.1536, device='cuda:0')
tensor(2.9268, device='cuda:0'),tensor(-1.1448, device='cuda:0'),tensor(-1.2585, device='cuda:0'),tensor(-0.4004, device='cuda:0')
tensor(-3.9017, device='cuda:0'),tensor(1.8581, device='cuda:0'),tensor(1.0804, device='cuda:0'),tensor(0.4252, device='cuda:0')
tensor(2.0285, device='cuda:0'),tensor(-1.4676, device='cuda:0'),tensor(-0.4310, device='cuda:0'),tensor(-0.1532, device='cuda:0')
tensor(-1.6659, device='cuda:0'),tensor(0.5326, device='cuda:0'),tensor(0.8252, device='cuda:0'),tensor(-0.0552, device='cuda:0')
tensor(-3.4354, device='cuda:0'),tensor(0.3022, device='cuda:0'),tensor(2.6423, device='cuda:0'),tensor(-0.0655, device='cuda:0')
tensor(-2.9762, device='cuda:0'),tensor(2.2657, device='cuda:0'),tensor(1.6365, device='cuda:0'),tensor(-1.4398, device='cuda:0')
tensor(1.3392, device='cuda:0'),tensor(0.1556, device='cuda:0'),tensor(-0.5436, device='cuda:0'),tensor(-1.1563, device='cuda:0')
tensor(4.5833, device='cuda:0'),tensor(-1.5332, device='cuda:0'),tensor(-1.9451, device='cuda:0'),tensor(-1.0314, device='cuda:0')
tensor(-0.3236, device='cuda:0'),tensor(-0.3496, device='cuda:0'),tensor(-0.1853, device='cuda:0'),tensor(0.6452, device='cuda:0')
tensor(-2.0202, device='cuda:0'),tensor(0.0041, device='cuda:0'),tensor(5.2605, device='cuda:0'),tensor(-3.5427, device='cuda:0')
tensor(2.0372, device='cuda:0'),tensor(-0.8578, device='cuda:0'),tensor(-0.6223, device='cuda:0'),tensor(-0.5804, device='cuda:0')
tensor(-4.0360, device='cuda:0'),tensor(0.7280, device='cuda:0'),tensor(5.8045, device='cuda:0'),tensor(-3.2184, device='cuda:0')
tensor(1.4509, device='cuda:0'),tensor(0.4762, device='cuda:0'),tensor(-1.2798, device='cuda:0'),tensor(-0.8765, device='cuda:0')
tensor(-2.7550, device='cuda:0'),tensor(0.0492, device='cuda:0'),tensor(3.4599, device='cuda:0'),tensor(-1.1513, device='cuda:0')
tensor(0.9762, device='cuda:0'),tensor(1.2233, device='cuda:0'),tensor(-0.2874, device='cuda:0'),tensor(-2.1370, device='cuda:0')
tensor(1.4442, device='cuda:0'),tensor(-1.4302, device='cuda:0'),tensor(0.3590, device='cuda:0'),tensor(-0.3195, device='cuda:0')
tensor(-0.1700, device='cuda:0'),tensor(2.9887, device='cuda:0'),tensor(-1.0391, device='cuda:0'),tensor(-2.1523, device='cuda:0')
tensor(5.8049, device='cuda:0'),tensor(-0.7827, device='cuda:0'),tensor(-3.0951, device='cuda:0'),tensor(-1.7264, device='cuda:0')
tensor(0.1193, device='cuda:0'),tensor(1.0867, device='cuda:0'),tensor(-0.4397, device='cuda:0'),tensor(-1.0237, device='cuda:0')
tensor(0.5241, device='cuda:0'),tensor(-0.0962, device='cuda:0'),tensor(0.4081, device='cuda:0'),tensor(-0.9647, device='cuda:0')
tensor(-3.8099, device='cuda:0'),tensor(1.6627, device='cuda:0'),tensor(2.8041, device='cuda:0'),tensor(-1.3336, device='cuda:0')
tensor(-1.3643, device='cuda:0'),tensor(0.2458, device='cuda:0'),tensor(2.8429, device='cuda:0'),tensor(-2.1825, device='cuda:0')
tensor(-1.2633, device='cuda:0'),tensor(1.1083, device='cuda:0'),tensor(3.7000, device='cuda:0'),tensor(-4.0340, device='cuda:0')
tensor(0.3728, device='cuda:0'),tensor(1.0566, device='cuda:0'),tensor(-2.6792, device='cuda:0'),tensor(1.0989, device='cuda:0')
tensor(-1.0947, device='cuda:0'),tensor(0.9814, device='cuda:0'),tensor(1.8457, device='cuda:0'),tensor(-2.1668, device='cuda:0')
tensor(2.2979, device='cuda:0'),tensor(0.0902, device='cuda:0'),tensor(-0.9059, device='cuda:0'),tensor(-1.5350, device='cuda:0')
tensor(0.2228, device='cuda:0'),tensor(-0.3305, device='cuda:0'),tensor(0.9666, device='cuda:0'),tensor(-1.0442, device='cuda:0')
tensor(-0.2242, device='cuda:0'),tensor(-0.7996, device='cuda:0'),tensor(0.9290, device='cuda:0'),tensor(-0.0801, device='cuda:0')
tensor(-2.3706, device='cuda:0'),tensor(-1.8306, device='cuda:0'),tensor(2.5157, device='cuda:0'),tensor(1.3304, device='cuda:0')
tensor(-3.7997, device='cuda:0'),tensor(0.3174, device='cuda:0'),tensor(2.0169, device='cuda:0'),tensor(0.8001, device='cuda:0')
tensor(-0.9869, device='cuda:0'),tensor(-0.0345, device='cuda:0'),tensor(2.9711, device='cuda:0'),tensor(-2.2624, device='cuda:0')
tensor(3.6978, device='cuda:0'),tensor(-2.6125, device='cuda:0'),tensor(-2.8269, device='cuda:0'),tensor(2.1035, device='cuda:0')
tensor(-3.2644, device='cuda:0'),tensor(0.0628, device='cuda:0'),tensor(4.2581, device='cuda:0'),tensor(-1.6053, device='cuda:0')
tensor(4.6904, device='cuda:0'),tensor(-0.4280, device='cuda:0'),tensor(-3.0547, device='cuda:0'),tensor(-1.0388, device='cuda:0')
tensor(-0.9048, device='cuda:0'),tensor(-0.4009, device='cuda:0'),tensor(2.5938, device='cuda:0'),tensor(-1.6199, device='cuda:0')
tensor(4.5401, device='cuda:0'),tensor(-0.9052, device='cuda:0'),tensor(-2.9870, device='cuda:0'),tensor(-0.5236, device='cuda:0')
tensor(-1.8467, device='cuda:0'),tensor(-0.5810, device='cuda:0'),tensor(4.3093, device='cuda:0'),tensor(-2.3279, device='cuda:0')
tensor(-2.1448, device='cuda:0'),tensor(2.4600, device='cuda:0'),tensor(1.7521, device='cuda:0'),tensor(-2.4763, device='cuda:0')
tensor(-0.4944, device='cuda:0'),tensor(-0.4692, device='cuda:0'),tensor(1.3057, device='cuda:0'),tensor(-0.5887, device='cuda:0')
tensor(7.2104, device='cuda:0'),tensor(-2.1257, device='cuda:0'),tensor(-2.5194, device='cuda:0'),tensor(-2.1401, device='cuda:0')
tensor(2.5549, device='cuda:0'),tensor(0.4154, device='cuda:0'),tensor(-2.3466, device='cuda:0'),tensor(-0.7276, device='cuda:0')
tensor(4.2242, device='cuda:0'),tensor(-0.3046, device='cuda:0'),tensor(-2.3702, device='cuda:0'),tensor(-1.3561, device='cuda:0')
tensor(3.0073, device='cuda:0'),tensor(-1.7817, device='cuda:0'),tensor(-1.6208, device='cuda:0'),tensor(0.4191, device='cuda:0')
tensor(2.3624, device='cuda:0'),tensor(-0.0706, device='cuda:0'),tensor(-1.5701, device='cuda:0'),tensor(-0.7637, device='cuda:0')
tensor(-1.6905, device='cuda:0'),tensor(-0.9029, device='cuda:0'),tensor(4.1866, device='cuda:0'),tensor(-2.0094, device='cuda:0')
tensor(-1.7771, device='cuda:0'),tensor(0.0659, device='cuda:0'),tensor(4.6274, device='cuda:0'),tensor(-3.2899, device='cuda:0')
