#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVR1B	BTK	9606.ENSP00000442656	9606.ENSP00000483570	0	0	0	0.551	0.074	0.386	0	0.050	0.409
AES	CSF1R	9606.ENSP00000221561	9606.ENSP00000286301	0	0	0	0	0.055	0	0	0.434	0.442
AES	RELA	9606.ENSP00000221561	9606.ENSP00000384273	0	0	0	0	0	0.486	0	0.219	0.581
AES	NUP98	9606.ENSP00000221561	9606.ENSP00000316032	0	0	0	0	0.062	0	0	0.702	0.709
AES	NLK	9606.ENSP00000221561	9606.ENSP00000384625	0	0	0	0	0.062	0	0.900	0.063	0.904
AGPAT1	GPAM	9606.ENSP00000378877	9606.ENSP00000265276	0.056	0	0	0	0.062	0	0.900	0.837	0.983
AGT	MAPK1	9606.ENSP00000355627	9606.ENSP00000215832	0	0	0	0	0	0	0.900	0.291	0.926
AGT	TIMP1	9606.ENSP00000355627	9606.ENSP00000218388	0	0	0	0	0	0	0	0.406	0.406
AGT	CCL2	9606.ENSP00000355627	9606.ENSP00000225831	0	0	0	0	0	0	0	0.498	0.498
AGT	C3	9606.ENSP00000355627	9606.ENSP00000245907	0	0	0	0	0.179	0	0	0.322	0.419
AGT	CRP	9606.ENSP00000355627	9606.ENSP00000255030	0	0	0	0	0.103	0	0	0.522	0.554
AGT	MAPK3	9606.ENSP00000355627	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.591	0.957
AGT	IL1B	9606.ENSP00000355627	9606.ENSP00000263341	0	0	0	0	0	0	0	0.539	0.539
AGT	PIK3CA	9606.ENSP00000355627	9606.ENSP00000263967	0	0	0	0	0	0	0.900	0.104	0.906
AGT	STAT3	9606.ENSP00000355627	9606.ENSP00000264657	0	0	0	0	0	0.270	0	0.404	0.547
AGT	ICAM1	9606.ENSP00000355627	9606.ENSP00000264832	0	0	0	0	0	0	0	0.511	0.511
AGT	APP	9606.ENSP00000355627	9606.ENSP00000284981	0	0	0	0	0.084	0.068	0.500	0.180	0.603
AGT	CCR5	9606.ENSP00000355627	9606.ENSP00000292303	0	0	0	0	0	0.056	0.900	0.166	0.914
AGT	VCAM1	9606.ENSP00000355627	9606.ENSP00000294728	0	0	0	0	0.088	0	0	0.483	0.508
AGT	CXCR1	9606.ENSP00000355627	9606.ENSP00000295683	0	0	0	0	0	0.056	0.600	0.051	0.610
AGT	CCL11	9606.ENSP00000355627	9606.ENSP00000302234	0	0	0	0	0	0	0.900	0.066	0.902
AGT	IGF1	9606.ENSP00000355627	9606.ENSP00000302665	0	0	0	0	0.062	0	0	0.508	0.519
AGT	CASP3	9606.ENSP00000355627	9606.ENSP00000311032	0	0	0	0	0.063	0	0	0.397	0.411
AGT	LEP	9606.ENSP00000355627	9606.ENSP00000312652	0	0	0	0	0	0	0	0.683	0.683
AGT	CXCR2	9606.ENSP00000355627	9606.ENSP00000319635	0	0	0	0	0	0.056	0.600	0.063	0.615
AGT	FN1	9606.ENSP00000355627	9606.ENSP00000346839	0	0	0	0	0.076	0	0	0.566	0.582
AGT	SCNN1A	9606.ENSP00000355627	9606.ENSP00000353292	0	0	0	0	0.062	0	0	0.492	0.504
AGT	PTGS2	9606.ENSP00000355627	9606.ENSP00000356438	0	0	0	0	0	0	0	0.432	0.432
AGT	VEGFA	9606.ENSP00000355627	9606.ENSP00000478570	0	0	0	0	0.065	0	0	0.489	0.501
AGT	MMP9	9606.ENSP00000355627	9606.ENSP00000361405	0	0	0	0	0	0.056	0	0.499	0.507
AGT	AKT1	9606.ENSP00000355627	9606.ENSP00000451828	0	0	0	0	0	0	0	0.555	0.555
AGT	TNF	9606.ENSP00000355627	9606.ENSP00000398698	0	0	0	0	0	0	0	0.602	0.602
AGT	INS	9606.ENSP00000355627	9606.ENSP00000380432	0	0	0	0	0	0	0	0.602	0.602
AGT	IL6	9606.ENSP00000355627	9606.ENSP00000385675	0	0	0	0	0	0	0	0.651	0.651
AGT	SOS1	9606.ENSP00000355627	9606.ENSP00000387784	0	0	0	0	0	0	0.900	0	0.900
AGT	FPR1	9606.ENSP00000355627	9606.ENSP00000471493	0	0	0	0	0	0.056	0.900	0	0.901
AGT	CCL4	9606.ENSP00000355627	9606.ENSP00000482259	0	0	0	0	0	0	0.900	0.051	0.901
AGT	CXCL12	9606.ENSP00000355627	9606.ENSP00000379140	0	0	0	0	0.069	0	0.900	0.091	0.907
AGT	PIK3R1	9606.ENSP00000355627	9606.ENSP00000428056	0	0	0	0	0.062	0	0.900	0.133	0.911
AGT	CXCR4	9606.ENSP00000355627	9606.ENSP00000386884	0	0	0	0	0	0.056	0.900	0.138	0.911
AGT	GRB2	9606.ENSP00000355627	9606.ENSP00000376345	0	0	0	0	0	0.094	0.900	0.107	0.912
AGT	SHC1	9606.ENSP00000355627	9606.ENSP00000401303	0	0	0	0	0	0	0.900	0.194	0.915
AGT	SRC	9606.ENSP00000355627	9606.ENSP00000362680	0	0	0	0	0	0	0.900	0.579	0.956
AKAP6	KCND3	9606.ENSP00000280979	9606.ENSP00000319591	0	0	0	0	0.158	0	0	0.448	0.516
AKAP6	SLC8A1	9606.ENSP00000280979	9606.ENSP00000384763	0	0	0	0	0.107	0	0	0.656	0.680
AKAP6	RYR1	9606.ENSP00000280979	9606.ENSP00000352608	0	0	0	0	0.062	0.502	0	0.479	0.735
AKT1	CX3CL1	9606.ENSP00000451828	9606.ENSP00000006053	0	0	0	0	0	0	0	0.416	0.416
AKT1	LCP2	9606.ENSP00000451828	9606.ENSP00000046794	0	0	0	0	0	0.056	0	0.613	0.619
AKT1	TNFRSF1A	9606.ENSP00000451828	9606.ENSP00000162749	0	0	0	0	0.062	0.225	0	0.604	0.687
AKT1	TBX21	9606.ENSP00000451828	9606.ENSP00000177694	0	0	0	0	0	0.056	0	0.492	0.500
AKT1	OSM	9606.ENSP00000451828	9606.ENSP00000215781	0	0	0	0	0	0	0	0.458	0.457
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0.304	0.592	0.068	0.148	0.800	0.795	0.895
AKT1	IL2RB	9606.ENSP00000451828	9606.ENSP00000216223	0	0	0	0	0	0	0.900	0.280	0.925
AKT1	GZMB	9606.ENSP00000451828	9606.ENSP00000216341	0	0	0	0	0	0.056	0	0.457	0.465
AKT1	TIMP1	9606.ENSP00000451828	9606.ENSP00000218388	0	0	0	0	0	0.058	0	0.603	0.610
AKT1	STUB1	9606.ENSP00000451828	9606.ENSP00000219548	0	0	0	0	0.077	0.519	0	0.633	0.823
AKT1	HGF	9606.ENSP00000451828	9606.ENSP00000222390	0	0	0	0	0.062	0.056	0	0.747	0.757
AKT1	MPO	9606.ENSP00000451828	9606.ENSP00000225275	0	0	0	0	0	0.077	0	0.526	0.544
AKT1	CSF3	9606.ENSP00000451828	9606.ENSP00000225474	0	0	0	0	0	0	0	0.535	0.535
AKT1	WNT3	9606.ENSP00000451828	9606.ENSP00000225512	0	0	0	0	0.062	0.123	0	0.470	0.526
AKT1	CCL2	9606.ENSP00000451828	9606.ENSP00000225831	0	0	0	0	0	0	0	0.685	0.685
AKT1	KAT2A	9606.ENSP00000451828	9606.ENSP00000225916	0	0	0	0	0.113	0.253	0	0.329	0.517
AKT1	NFKB1	9606.ENSP00000451828	9606.ENSP00000226574	0	0	0	0	0.066	0.176	0.900	0.526	0.958
AKT1	IL2	9606.ENSP00000451828	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.682	0.966
AKT1	SPI1	9606.ENSP00000451828	9606.ENSP00000227163	0	0	0	0	0	0	0	0.424	0.424
AKT1	IFNG	9606.ENSP00000451828	9606.ENSP00000229135	0	0	0	0	0	0	0	0.605	0.605
AKT1	GAPDH	9606.ENSP00000451828	9606.ENSP00000229239	0	0	0	0	0.046	0.349	0	0.871	0.913
AKT1	IL4	9606.ENSP00000451828	9606.ENSP00000231449	0	0	0	0	0.063	0	0	0.680	0.687
AKT1	IL5	9606.ENSP00000451828	9606.ENSP00000231454	0	0	0	0	0	0	0	0.452	0.452
AKT1	WNT6	9606.ENSP00000451828	9606.ENSP00000233948	0	0	0	0	0.062	0.123	0	0.368	0.434
AKT1	SELL	9606.ENSP00000451828	9606.ENSP00000236147	0	0	0	0	0	0.058	0	0.474	0.483
AKT1	PKD2	9606.ENSP00000451828	9606.ENSP00000237596	0	0	0	0	0	0.270	0	0.304	0.470
AKT1	IRF1	9606.ENSP00000451828	9606.ENSP00000245414	0	0	0	0	0	0.056	0	0.415	0.424
AKT1	CCR7	9606.ENSP00000451828	9606.ENSP00000246657	0	0	0	0	0	0	0	0.471	0.471
AKT1	EPO	9606.ENSP00000451828	9606.ENSP00000252723	0	0	0	0	0	0	0	0.673	0.673
AKT1	CRP	9606.ENSP00000451828	9606.ENSP00000255030	0	0	0	0	0	0	0	0.568	0.568
AKT1	WNT10A	9606.ENSP00000451828	9606.ENSP00000258411	0	0	0	0	0.062	0.123	0	0.341	0.410
AKT1	TLR2	9606.ENSP00000451828	9606.ENSP00000260010	0	0	0	0	0	0.245	0	0.696	0.761
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0.323	0.586	0.066	0.148	0.800	0.938	0.906
AKT1	IL1A	9606.ENSP00000451828	9606.ENSP00000263339	0	0	0	0	0	0	0	0.521	0.521
AKT1	IL1B	9606.ENSP00000451828	9606.ENSP00000263341	0	0	0	0	0	0.056	0	0.774	0.777
AKT1	IL7	9606.ENSP00000451828	9606.ENSP00000263851	0	0	0	0	0	0	0	0.521	0.521
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.064	0.880	0.900	0.903	0.998
AKT1	CD80	9606.ENSP00000451828	9606.ENSP00000264246	0	0	0	0	0	0	0.650	0.513	0.822
AKT1	IL11	9606.ENSP00000451828	9606.ENSP00000264563	0	0	0	0	0	0	0	0.458	0.457
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0	0.140	0.900	0.875	0.988
AKT1	ICAM1	9606.ENSP00000451828	9606.ENSP00000264832	0	0	0	0	0	0	0	0.678	0.678
AKT1	EGF	9606.ENSP00000451828	9606.ENSP00000265171	0	0	0	0	0	0.056	0	0.859	0.861
AKT1	WNT9A	9606.ENSP00000451828	9606.ENSP00000272164	0	0	0	0	0.062	0.123	0	0.508	0.560
AKT1	SFRP2	9606.ENSP00000451828	9606.ENSP00000274063	0	0	0	0	0.063	0.069	0	0.377	0.409
AKT1	SKP2	9606.ENSP00000451828	9606.ENSP00000274255	0	0	0	0	0	0.838	0	0.766	0.960
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0	0	0.554	0	0.650	0	0.926	0.794
AKT1	IFNA1	9606.ENSP00000451828	9606.ENSP00000276927	0	0	0	0	0	0	0	0.518	0.518
AKT1	IL18	9606.ENSP00000451828	9606.ENSP00000280357	0	0	0	0	0	0	0	0.538	0.538
AKT1	APP	9606.ENSP00000451828	9606.ENSP00000284981	0	0	0	0	0.064	0.057	0	0.651	0.665
AKT1	WNT7A	9606.ENSP00000451828	9606.ENSP00000285018	0	0	0	0	0.062	0.123	0	0.452	0.509
AKT1	CSF1R	9606.ENSP00000451828	9606.ENSP00000286301	0	0	0	0	0	0.122	0	0.559	0.596
AKT1	KIT	9606.ENSP00000451828	9606.ENSP00000288135	0	0	0	0	0	0.122	0	0.736	0.758
AKT1	WNT9B	9606.ENSP00000451828	9606.ENSP00000290015	0	0	0	0	0.062	0.123	0	0.508	0.560
AKT1	WNT4	9606.ENSP00000451828	9606.ENSP00000290167	0	0	0	0	0.062	0.123	0	0.488	0.542
AKT1	CCR2	9606.ENSP00000451828	9606.ENSP00000292301	0	0	0	0	0	0.056	0	0.469	0.477
AKT1	CCR5	9606.ENSP00000451828	9606.ENSP00000292303	0	0	0	0	0	0.056	0	0.454	0.462
AKT1	STAT5B	9606.ENSP00000451828	9606.ENSP00000293328	0	0	0	0	0.062	0.140	0	0.785	0.811
AKT1	VCAM1	9606.ENSP00000451828	9606.ENSP00000294728	0	0	0	0	0	0	0	0.659	0.659
AKT1	CXCR1	9606.ENSP00000451828	9606.ENSP00000295683	0	0	0	0	0	0.056	0	0.476	0.484
AKT1	CXCL5	9606.ENSP00000451828	9606.ENSP00000296027	0	0	0	0	0	0	0	0.410	0.411
AKT1	IL15	9606.ENSP00000451828	9606.ENSP00000296545	0	0	0	0	0	0	0	0.514	0.514
AKT1	TLR3	9606.ENSP00000451828	9606.ENSP00000296795	0	0	0	0	0	0.168	0	0.470	0.540
AKT1	IL3	9606.ENSP00000451828	9606.ENSP00000296870	0	0	0	0	0	0	0	0.595	0.595
AKT1	CSF2	9606.ENSP00000451828	9606.ENSP00000296871	0	0	0	0	0	0	0	0.603	0.603
AKT1	STAT6	9606.ENSP00000451828	9606.ENSP00000300134	0	0	0	0	0.062	0.140	0	0.624	0.670
AKT1	WNT10B	9606.ENSP00000451828	9606.ENSP00000301061	0	0	0	0	0.062	0.123	0	0.390	0.455
AKT1	IGF1	9606.ENSP00000451828	9606.ENSP00000302665	0	0	0	0	0	0	0	0.878	0.878
AKT1	CTLA4	9606.ENSP00000451828	9606.ENSP00000303939	0	0	0	0	0.063	0.056	0.650	0.681	0.888
AKT1	IL13	9606.ENSP00000451828	9606.ENSP00000304915	0	0	0	0	0	0	0	0.536	0.536
AKT1	S1PR1	9606.ENSP00000451828	9606.ENSP00000305416	0	0	0	0	0	0.226	0.900	0.575	0.964
AKT1	CXCL10	9606.ENSP00000451828	9606.ENSP00000305651	0	0	0	0	0	0	0	0.502	0.502
AKT1	IL7R	9606.ENSP00000451828	9606.ENSP00000306157	0	0	0	0	0.049	0.056	0	0.457	0.469
AKT1	CXCL8	9606.ENSP00000451828	9606.ENSP00000306512	0	0	0	0	0	0	0	0.714	0.714
AKT1	TLR10	9606.ENSP00000451828	9606.ENSP00000308925	0	0	0	0	0	0.168	0	0.497	0.565
AKT1	CD34	9606.ENSP00000451828	9606.ENSP00000310036	0	0	0	0	0	0	0	0.666	0.666
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0	0.475	0	0.882	0.935
AKT1	TLR8	9606.ENSP00000451828	9606.ENSP00000312082	0	0	0	0	0	0.168	0	0.310	0.401
AKT1	LEP	9606.ENSP00000451828	9606.ENSP00000312652	0	0	0	0	0	0	0	0.739	0.739
AKT1	CXCR2	9606.ENSP00000451828	9606.ENSP00000319635	0	0	0	0	0	0.056	0	0.517	0.524
AKT1	CD28	9606.ENSP00000451828	9606.ENSP00000324890	0	0	0	0	0.063	0.056	0.650	0.621	0.867
AKT1	WNT11	9606.ENSP00000451828	9606.ENSP00000325526	0	0	0	0	0.062	0.123	0	0.406	0.468
AKT1	CSF1	9606.ENSP00000451828	9606.ENSP00000327513	0	0	0	0	0.062	0.060	0	0.560	0.578
AKT1	PDGFB	9606.ENSP00000451828	9606.ENSP00000330382	0	0	0	0	0	0	0.900	0.544	0.952
AKT1	CD86	9606.ENSP00000451828	9606.ENSP00000332049	0	0	0	0	0.062	0	0.650	0.521	0.829
AKT1	LCK	9606.ENSP00000451828	9606.ENSP00000337825	0	0	0.371	0.558	0.049	0	0.900	0.653	0.939
AKT1	PTPN11	9606.ENSP00000451828	9606.ENSP00000340944	0	0	0	0	0.090	0.138	0.900	0.752	0.978
AKT1	WNT7B	9606.ENSP00000451828	9606.ENSP00000341032	0	0	0	0	0.062	0.123	0	0.390	0.454
AKT1	STAT5A	9606.ENSP00000451828	9606.ENSP00000341208	0	0	0	0	0.060	0.140	0	0.786	0.811
AKT1	JAK1	9606.ENSP00000451828	9606.ENSP00000343204	0	0	0	0.571	0.062	0	0.900	0.706	0.931
AKT1	IL17A	9606.ENSP00000451828	9606.ENSP00000344192	0	0	0	0	0	0	0	0.601	0.601
AKT1	FYN	9606.ENSP00000451828	9606.ENSP00000346671	0	0	0.367	0.562	0.064	0.132	0.650	0.730	0.819
AKT1	FN1	9606.ENSP00000451828	9606.ENSP00000346839	0	0	0	0	0.051	0	0	0.776	0.778
AKT1	TLR9	9606.ENSP00000451828	9606.ENSP00000353874	0	0	0	0	0	0.168	0	0.514	0.578
AKT1	STAT1	9606.ENSP00000451828	9606.ENSP00000354394	0	0	0	0	0	0.294	0.900	0.702	0.977
AKT1	TLR1	9606.ENSP00000451828	9606.ENSP00000354932	0	0	0	0	0	0.168	0	0.400	0.479
AKT1	PARK2	9606.ENSP00000451828	9606.ENSP00000355865	0	0	0	0	0	0.062	0	0.506	0.517
AKT1	PTGS2	9606.ENSP00000451828	9606.ENSP00000356438	0	0	0	0	0.062	0.077	0	0.738	0.754
AKT1	FASLG	9606.ENSP00000451828	9606.ENSP00000356694	0	0	0	0	0	0	0	0.648	0.648
AKT1	IL6R	9606.ENSP00000451828	9606.ENSP00000357470	0	0	0	0	0	0	0	0.462	0.462
AKT1	WNT2B	9606.ENSP00000451828	9606.ENSP00000358698	0	0	0	0	0.062	0.123	0	0.442	0.501
AKT1	CD40LG	9606.ENSP00000451828	9606.ENSP00000359663	0	0	0	0	0	0.056	0.900	0.493	0.947
AKT1	CD40	9606.ENSP00000451828	9606.ENSP00000361359	0	0	0	0	0	0.078	0.900	0.561	0.956
AKT1	MMP9	9606.ENSP00000451828	9606.ENSP00000361405	0	0	0	0	0.062	0	0	0.811	0.815
AKT1	CSF3R	9606.ENSP00000451828	9606.ENSP00000362195	0	0	0	0	0	0.056	0	0.449	0.457
AKT1	SRC	9606.ENSP00000451828	9606.ENSP00000362680	0	0	0.391	0.562	0.098	0.683	0.900	0.986	0.985
AKT1	CXCR3	9606.ENSP00000451828	9606.ENSP00000362795	0	0	0	0	0	0.056	0	0.400	0.409
AKT1	TLR4	9606.ENSP00000451828	9606.ENSP00000363089	0	0	0	0	0.063	0.168	0	0.696	0.742
AKT1	IL2RG	9606.ENSP00000451828	9606.ENSP00000363318	0	0	0	0	0	0	0.900	0.349	0.932
AKT1	FOXP3	9606.ENSP00000451828	9606.ENSP00000365380	0	0	0	0	0	0.118	0	0.607	0.639
AKT1	IL2RA	9606.ENSP00000451828	9606.ENSP00000369293	0	0	0	0	0	0	0.900	0.466	0.944
AKT1	IFNB1	9606.ENSP00000451828	9606.ENSP00000369581	0	0	0	0	0	0	0	0.523	0.523
AKT1	TLR7	9606.ENSP00000451828	9606.ENSP00000370034	0	0	0	0	0	0.168	0	0.418	0.495
AKT1	IL33	9606.ENSP00000451828	9606.ENSP00000370842	0	0	0	0	0	0	0	0.488	0.488
AKT1	CD274	9606.ENSP00000451828	9606.ENSP00000370989	0	0	0	0	0	0	0	0.661	0.661
AKT1	IGF2BP2	9606.ENSP00000451828	9606.ENSP00000371634	0	0	0	0	0.062	0	0	0.445	0.457
AKT1	STAT4	9606.ENSP00000451828	9606.ENSP00000376134	0	0	0	0	0	0.140	0	0.598	0.640
AKT1	GRB2	9606.ENSP00000451828	9606.ENSP00000376345	0	0	0	0	0.083	0.156	0.900	0.860	0.987
AKT1	MAPK8	9606.ENSP00000451828	9606.ENSP00000378974	0	0	0.417	0.573	0.084	0.315	0	0.810	0.642
AKT1	CXCL1	9606.ENSP00000451828	9606.ENSP00000379110	0	0	0	0	0	0	0	0.538	0.538
AKT1	CXCL12	9606.ENSP00000451828	9606.ENSP00000379140	0	0	0	0	0	0	0	0.709	0.709
AKT1	ITGB1	9606.ENSP00000451828	9606.ENSP00000379350	0	0	0	0	0.081	0.070	0	0.818	0.831
AKT1	WNT5B	9606.ENSP00000451828	9606.ENSP00000380379	0	0	0	0	0.062	0.123	0	0.454	0.512
AKT1	INS	9606.ENSP00000451828	9606.ENSP00000380432	0	0	0	0	0	0	0.900	0.908	0.990
AKT1	ITGB2	9606.ENSP00000451828	9606.ENSP00000380948	0	0	0	0	0.076	0.070	0	0.414	0.452
AKT1	KHSRP	9606.ENSP00000451828	9606.ENSP00000381216	0	0	0	0	0.096	0.270	0.900	0.289	0.946
AKT1	CSF2RB	9606.ENSP00000451828	9606.ENSP00000384053	0	0	0	0	0	0.281	0	0.206	0.405
AKT1	RELA	9606.ENSP00000451828	9606.ENSP00000384273	0	0	0	0	0.086	0.056	0	0.720	0.738
AKT1	IL6	9606.ENSP00000451828	9606.ENSP00000385675	0	0	0	0	0.056	0	0	0.829	0.832
AKT1	IL1R1	9606.ENSP00000451828	9606.ENSP00000386380	0	0	0	0	0	0.056	0	0.538	0.545
AKT1	CXCR4	9606.ENSP00000451828	9606.ENSP00000386884	0	0	0	0	0.062	0.056	0	0.710	0.721
AKT1	SOS1	9606.ENSP00000451828	9606.ENSP00000387784	0	0	0	0	0.062	0.100	0.900	0.677	0.969
AKT1	TLR6	9606.ENSP00000451828	9606.ENSP00000389600	0	0	0	0	0	0.168	0	0.450	0.523
AKT1	PTPN6	9606.ENSP00000451828	9606.ENSP00000391592	0	0	0	0	0.084	0.078	0	0.390	0.440
AKT1	JAK3	9606.ENSP00000451828	9606.ENSP00000391676	0	0	0	0.584	0.049	0	0.900	0.623	0.925
AKT1	PRF1	9606.ENSP00000451828	9606.ENSP00000398568	0	0	0	0	0	0	0	0.402	0.402
AKT1	CD44	9606.ENSP00000451828	9606.ENSP00000398632	0	0	0	0	0	0.200	0	0.768	0.807
AKT1	TNF	9606.ENSP00000451828	9606.ENSP00000398698	0	0	0	0	0	0.056	0	0.826	0.829
AKT1	SHC1	9606.ENSP00000451828	9606.ENSP00000401303	0	0	0	0	0.067	0.067	0.900	0.776	0.977
AKT1	MYD88	9606.ENSP00000451828	9606.ENSP00000401399	0	0	0	0	0	0.149	0	0.648	0.688
AKT1	PTPRC	9606.ENSP00000451828	9606.ENSP00000411355	0	0	0	0	0.062	0.078	0	0.618	0.641
AKT1	IL10	9606.ENSP00000451828	9606.ENSP00000412237	0	0	0	0	0	0.060	0	0.690	0.697
AKT1	CXCL2	9606.ENSP00000451828	9606.ENSP00000427279	0	0	0	0	0	0	0	0.425	0.425
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0.062	0.700	0.900	0.878	0.996
AKT1	LYN	9606.ENSP00000451828	9606.ENSP00000428924	0	0	0.385	0.560	0.049	0	0.650	0.690	0.794
AKT1	CASP1	9606.ENSP00000451828	9606.ENSP00000433138	0	0	0	0	0	0.063	0	0.576	0.586
AKT1	TRAF6	9606.ENSP00000451828	9606.ENSP00000433623	0	0	0	0	0.062	0.592	0.900	0.850	0.993
AKT1	CD19	9606.ENSP00000451828	9606.ENSP00000437940	0	0	0	0	0.063	0	0.900	0.597	0.958
AKT1	TLR5	9606.ENSP00000451828	9606.ENSP00000440643	0	0	0	0	0	0.168	0	0.377	0.459
AKT1	ITGAM	9606.ENSP00000451828	9606.ENSP00000441691	0	0	0	0	0	0.075	0	0.610	0.624
AKT1	ATP1A1	9606.ENSP00000451828	9606.ENSP00000445306	0	0	0	0	0.083	0.295	0	0.157	0.407
AKT1	STIM1	9606.ENSP00000451828	9606.ENSP00000478059	0	0	0	0	0	0	0	0.418	0.418
AKT1	CCL4	9606.ENSP00000451828	9606.ENSP00000482259	0	0	0	0	0	0	0	0.424	0.424
AKT1	B2M	9606.ENSP00000451828	9606.ENSP00000452780	0	0	0	0	0	0	0	0.429	0.429
AKT1	NCAM1	9606.ENSP00000451828	9606.ENSP00000480132	0	0	0	0	0.053	0.104	0	0.398	0.444
AKT1	CCL3	9606.ENSP00000451828	9606.ENSP00000477908	0	0	0	0	0	0	0	0.478	0.478
AKT1	ITGAX	9606.ENSP00000451828	9606.ENSP00000454623	0	0	0	0	0	0.075	0	0.465	0.484
AKT1	CCL5	9606.ENSP00000451828	9606.ENSP00000474412	0	0	0	0	0	0	0	0.561	0.561
AKT1	IRF3	9606.ENSP00000451828	9606.ENSP00000471896	0	0	0	0	0.046	0.281	0	0.469	0.604
AKT1	PECAM1	9606.ENSP00000451828	9606.ENSP00000457421	0	0	0	0	0	0.056	0	0.689	0.694
AKT1	VEGFA	9606.ENSP00000451828	9606.ENSP00000478570	0	0	0	0	0.063	0.213	0	0.871	0.896
AKT1	VAV1	9606.ENSP00000451828	9606.ENSP00000472929	0	0	0	0	0	0.056	0	0.968	0.969
ANKRD1	CACNA1C	9606.ENSP00000360762	9606.ENSP00000266376	0	0	0	0	0	0.060	0	0.468	0.478
ANKRD1	ASB12	9606.ENSP00000360762	9606.ENSP00000355195	0	0	0.384	0	0.110	0	0	0	0.428
ANKRD1	SLC8A1	9606.ENSP00000360762	9606.ENSP00000384763	0	0	0	0	0	0.056	0	0.483	0.491
