"tensor(3.6716, device='cuda:0')","tensor(-2.5060, device='cuda:0')","tensor(0.1767, device='cuda:0')"
"tensor(4.9957, device='cuda:0')","tensor(-3.6089, device='cuda:0')","tensor(-0.0612, device='cuda:0')"
"tensor(4.5525, device='cuda:0')","tensor(-3.3542, device='cuda:0')","tensor(0.3187, device='cuda:0')"
"tensor(5.4642, device='cuda:0')","tensor(-3.8707, device='cuda:0')","tensor(-0.2613, device='cuda:0')"
"tensor(4.4405, device='cuda:0')","tensor(-3.5225, device='cuda:0')","tensor(0.7951, device='cuda:0')"
"tensor(4.4292, device='cuda:0')","tensor(-3.1669, device='cuda:0')","tensor(0.2713, device='cuda:0')"
"tensor(5.7510, device='cuda:0')","tensor(-4.2095, device='cuda:0')","tensor(0.0026, device='cuda:0')"
"tensor(6.3387, device='cuda:0')","tensor(-4.2045, device='cuda:0')","tensor(-0.8559, device='cuda:0')"
"tensor(4.3756, device='cuda:0')","tensor(-3.5013, device='cuda:0')","tensor(0.8572, device='cuda:0')"
"tensor(4.6272, device='cuda:0')","tensor(-3.4055, device='cuda:0')","tensor(0.3573, device='cuda:0')"
"tensor(7.1141, device='cuda:0')","tensor(-5.0812, device='cuda:0')","tensor(-0.5779, device='cuda:0')"
"tensor(-0.0597, device='cuda:0')","tensor(-0.7181, device='cuda:0')","tensor(2.5630, device='cuda:0')"
"tensor(2.2226, device='cuda:0')","tensor(-3.0183, device='cuda:0')","tensor(2.8455, device='cuda:0')"
"tensor(4.0026, device='cuda:0')","tensor(-3.0928, device='cuda:0')","tensor(0.6012, device='cuda:0')"
"tensor(5.6408, device='cuda:0')","tensor(-4.1652, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(4.4153, device='cuda:0')","tensor(-3.3672, device='cuda:0')","tensor(0.5829, device='cuda:0')"
"tensor(3.9854, device='cuda:0')","tensor(-2.9026, device='cuda:0')","tensor(0.3803, device='cuda:0')"
"tensor(3.9863, device='cuda:0')","tensor(-3.4641, device='cuda:0')","tensor(1.2379, device='cuda:0')"
"tensor(3.0340, device='cuda:0')","tensor(-1.6579, device='cuda:0')","tensor(-0.2310, device='cuda:0')"
"tensor(4.2056, device='cuda:0')","tensor(-3.4219, device='cuda:0')","tensor(0.9734, device='cuda:0')"
"tensor(3.5657, device='cuda:0')","tensor(-1.9872, device='cuda:0')","tensor(-0.9131, device='cuda:0')"
"tensor(3.7444, device='cuda:0')","tensor(-2.7793, device='cuda:0')","tensor(0.6145, device='cuda:0')"
"tensor(3.5521, device='cuda:0')","tensor(-2.2161, device='cuda:0')","tensor(-0.5262, device='cuda:0')"
"tensor(4.8177, device='cuda:0')","tensor(-3.4649, device='cuda:0')","tensor(0.0934, device='cuda:0')"
"tensor(3.8216, device='cuda:0')","tensor(-2.7319, device='cuda:0')","tensor(0.3730, device='cuda:0')"
"tensor(3.8220, device='cuda:0')","tensor(-2.1771, device='cuda:0')","tensor(-0.5992, device='cuda:0')"
"tensor(4.3592, device='cuda:0')","tensor(-3.3842, device='cuda:0')","tensor(0.6991, device='cuda:0')"
"tensor(4.0619, device='cuda:0')","tensor(-2.6842, device='cuda:0')","tensor(-0.3531, device='cuda:0')"
"tensor(5.3324, device='cuda:0')","tensor(-3.9078, device='cuda:0')","tensor(-0.0070, device='cuda:0')"
"tensor(4.2518, device='cuda:0')","tensor(-3.3979, device='cuda:0')","tensor(0.8676, device='cuda:0')"
"tensor(5.8038, device='cuda:0')","tensor(-4.2318, device='cuda:0')","tensor(-0.1204, device='cuda:0')"
"tensor(4.9622, device='cuda:0')","tensor(-3.6194, device='cuda:0')","tensor(0.0333, device='cuda:0')"
"tensor(4.6230, device='cuda:0')","tensor(-3.6286, device='cuda:0')","tensor(0.5858, device='cuda:0')"
"tensor(3.7937, device='cuda:0')","tensor(-3.1185, device='cuda:0')","tensor(1.0778, device='cuda:0')"
"tensor(2.9023, device='cuda:0')","tensor(-1.5387, device='cuda:0')","tensor(-0.6451, device='cuda:0')"
"tensor(4.1046, device='cuda:0')","tensor(-3.2167, device='cuda:0')","tensor(0.7736, device='cuda:0')"
"tensor(4.0759, device='cuda:0')","tensor(-3.2153, device='cuda:0')","tensor(0.8160, device='cuda:0')"
"tensor(4.6324, device='cuda:0')","tensor(-3.6067, device='cuda:0')","tensor(0.5097, device='cuda:0')"
"tensor(4.6459, device='cuda:0')","tensor(-3.5529, device='cuda:0')","tensor(0.5559, device='cuda:0')"
"tensor(4.1842, device='cuda:0')","tensor(-3.1527, device='cuda:0')","tensor(0.4548, device='cuda:0')"
"tensor(5.9184, device='cuda:0')","tensor(-4.1764, device='cuda:0')","tensor(-0.6426, device='cuda:0')"
"tensor(5.7114, device='cuda:0')","tensor(-3.7926, device='cuda:0')","tensor(-0.6670, device='cuda:0')"
"tensor(3.1226, device='cuda:0')","tensor(-2.4133, device='cuda:0')","tensor(0.9681, device='cuda:0')"
"tensor(4.6583, device='cuda:0')","tensor(-3.4182, device='cuda:0')","tensor(0.2984, device='cuda:0')"
"tensor(2.7291, device='cuda:0')","tensor(-1.5558, device='cuda:0')","tensor(-0.3159, device='cuda:0')"
"tensor(5.9811, device='cuda:0')","tensor(-4.1220, device='cuda:0')","tensor(-0.5577, device='cuda:0')"
"tensor(4.6560, device='cuda:0')","tensor(-3.3381, device='cuda:0')","tensor(0.2159, device='cuda:0')"
"tensor(4.4717, device='cuda:0')","tensor(-3.7716, device='cuda:0')","tensor(1.1603, device='cuda:0')"
"tensor(4.7798, device='cuda:0')","tensor(-3.6096, device='cuda:0')","tensor(0.2813, device='cuda:0')"
"tensor(4.2011, device='cuda:0')","tensor(-3.1868, device='cuda:0')","tensor(0.2379, device='cuda:0')"
"tensor(3.6687, device='cuda:0')","tensor(-3.0050, device='cuda:0')","tensor(1.0208, device='cuda:0')"
"tensor(4.4732, device='cuda:0')","tensor(-3.5415, device='cuda:0')","tensor(0.7634, device='cuda:0')"
"tensor(3.8198, device='cuda:0')","tensor(-2.2517, device='cuda:0')","tensor(-0.5470, device='cuda:0')"
"tensor(5.2000, device='cuda:0')","tensor(-3.0496, device='cuda:0')","tensor(-1.6691, device='cuda:0')"
"tensor(4.9963, device='cuda:0')","tensor(-3.7951, device='cuda:0')","tensor(0.3799, device='cuda:0')"
"tensor(3.2136, device='cuda:0')","tensor(-1.2041, device='cuda:0')","tensor(-1.6577, device='cuda:0')"
"tensor(5.6649, device='cuda:0')","tensor(-4.0834, device='cuda:0')","tensor(-0.1255, device='cuda:0')"
"tensor(2.7859, device='cuda:0')","tensor(-1.9788, device='cuda:0')","tensor(0.6906, device='cuda:0')"
"tensor(3.6544, device='cuda:0')","tensor(-3.9149, device='cuda:0')","tensor(2.4502, device='cuda:0')"
"tensor(4.0562, device='cuda:0')","tensor(-3.1019, device='cuda:0')","tensor(0.4263, device='cuda:0')"
"tensor(4.4454, device='cuda:0')","tensor(-3.3791, device='cuda:0')","tensor(0.5102, device='cuda:0')"
"tensor(5.6651, device='cuda:0')","tensor(-3.9448, device='cuda:0')","tensor(-0.3366, device='cuda:0')"
"tensor(3.5156, device='cuda:0')","tensor(-2.8424, device='cuda:0')","tensor(0.9958, device='cuda:0')"
"tensor(5.5903, device='cuda:0')","tensor(-4.3327, device='cuda:0')","tensor(0.3504, device='cuda:0')"
"tensor(4.1262, device='cuda:0')","tensor(-3.0005, device='cuda:0')","tensor(0.2907, device='cuda:0')"
"tensor(5.8675, device='cuda:0')","tensor(-4.0549, device='cuda:0')","tensor(-0.4500, device='cuda:0')"
"tensor(4.5264, device='cuda:0')","tensor(-3.6378, device='cuda:0')","tensor(0.8292, device='cuda:0')"
"tensor(5.6202, device='cuda:0')","tensor(-3.3735, device='cuda:0')","tensor(-1.3055, device='cuda:0')"
"tensor(4.0093, device='cuda:0')","tensor(-3.0120, device='cuda:0')","tensor(0.6748, device='cuda:0')"
"tensor(4.7679, device='cuda:0')","tensor(-3.6637, device='cuda:0')","tensor(0.5563, device='cuda:0')"
"tensor(4.0007, device='cuda:0')","tensor(-2.9338, device='cuda:0')","tensor(0.5029, device='cuda:0')"
"tensor(6.6808, device='cuda:0')","tensor(-4.8424, device='cuda:0')","tensor(-0.7336, device='cuda:0')"
"tensor(4.3006, device='cuda:0')","tensor(-1.9593, device='cuda:0')","tensor(-1.8475, device='cuda:0')"
"tensor(4.7338, device='cuda:0')","tensor(-3.6348, device='cuda:0')","tensor(0.5359, device='cuda:0')"
"tensor(4.3171, device='cuda:0')","tensor(-3.3603, device='cuda:0')","tensor(0.5648, device='cuda:0')"
"tensor(3.9320, device='cuda:0')","tensor(-3.2890, device='cuda:0')","tensor(1.1265, device='cuda:0')"
"tensor(4.8032, device='cuda:0')","tensor(-3.4402, device='cuda:0')","tensor(0.1625, device='cuda:0')"
"tensor(4.2093, device='cuda:0')","tensor(-3.1597, device='cuda:0')","tensor(0.5029, device='cuda:0')"
"tensor(4.9843, device='cuda:0')","tensor(-3.5550, device='cuda:0')","tensor(0.0322, device='cuda:0')"
"tensor(3.5303, device='cuda:0')","tensor(-3.5194, device='cuda:0')","tensor(1.9749, device='cuda:0')"
"tensor(3.2188, device='cuda:0')","tensor(-2.4957, device='cuda:0')","tensor(0.8318, device='cuda:0')"
"tensor(3.3022, device='cuda:0')","tensor(-3.0159, device='cuda:0')","tensor(1.5279, device='cuda:0')"
"tensor(4.5539, device='cuda:0')","tensor(-3.6393, device='cuda:0')","tensor(0.8014, device='cuda:0')"
"tensor(3.7559, device='cuda:0')","tensor(-3.2012, device='cuda:0')","tensor(1.2110, device='cuda:0')"
"tensor(4.1196, device='cuda:0')","tensor(-3.4474, device='cuda:0')","tensor(0.9889, device='cuda:0')"
"tensor(4.1384, device='cuda:0')","tensor(-2.9015, device='cuda:0')","tensor(0.2020, device='cuda:0')"
"tensor(3.6500, device='cuda:0')","tensor(-2.9849, device='cuda:0')","tensor(1.0461, device='cuda:0')"
"tensor(0.7155, device='cuda:0')","tensor(-0.9000, device='cuda:0')","tensor(1.8381, device='cuda:0')"
"tensor(4.0734, device='cuda:0')","tensor(-3.0549, device='cuda:0')","tensor(0.5980, device='cuda:0')"
"tensor(2.9313, device='cuda:0')","tensor(-2.5296, device='cuda:0')","tensor(1.2905, device='cuda:0')"
"tensor(4.9763, device='cuda:0')","tensor(-3.5956, device='cuda:0')","tensor(0.1582, device='cuda:0')"
"tensor(4.2698, device='cuda:0')","tensor(-3.4092, device='cuda:0')","tensor(0.8648, device='cuda:0')"
"tensor(4.9991, device='cuda:0')","tensor(-3.5984, device='cuda:0')","tensor(0.0228, device='cuda:0')"
"tensor(4.6183, device='cuda:0')","tensor(-3.4935, device='cuda:0')","tensor(0.3504, device='cuda:0')"
"tensor(3.3020, device='cuda:0')","tensor(-1.8311, device='cuda:0')","tensor(-0.2503, device='cuda:0')"
"tensor(3.6022, device='cuda:0')","tensor(-1.9257, device='cuda:0')","tensor(-0.7382, device='cuda:0')"
"tensor(4.4724, device='cuda:0')","tensor(-3.8414, device='cuda:0')","tensor(1.3976, device='cuda:0')"
"tensor(0.6432, device='cuda:0')","tensor(0.4144, device='cuda:0')","tensor(-0.3533, device='cuda:0')"
"tensor(4.6179, device='cuda:0')","tensor(-3.3042, device='cuda:0')","tensor(0.1988, device='cuda:0')"
"tensor(4.3230, device='cuda:0')","tensor(-3.6467, device='cuda:0')","tensor(1.1229, device='cuda:0')"
"tensor(2.8782, device='cuda:0')","tensor(-2.6011, device='cuda:0')","tensor(1.5101, device='cuda:0')"
"tensor(5.1841, device='cuda:0')","tensor(-3.6616, device='cuda:0')","tensor(-0.1338, device='cuda:0')"
"tensor(4.1282, device='cuda:0')","tensor(-3.1249, device='cuda:0')","tensor(0.6402, device='cuda:0')"
"tensor(3.4823, device='cuda:0')","tensor(-2.7777, device='cuda:0')","tensor(0.7893, device='cuda:0')"
"tensor(3.6963, device='cuda:0')","tensor(-2.9119, device='cuda:0')","tensor(0.7100, device='cuda:0')"
"tensor(4.6303, device='cuda:0')","tensor(-3.4211, device='cuda:0')","tensor(0.3000, device='cuda:0')"
"tensor(5.2092, device='cuda:0')","tensor(-3.8023, device='cuda:0')","tensor(0.1394, device='cuda:0')"
"tensor(4.8011, device='cuda:0')","tensor(-3.3926, device='cuda:0')","tensor(-0.0842, device='cuda:0')"
"tensor(4.7916, device='cuda:0')","tensor(-3.5632, device='cuda:0')","tensor(0.3559, device='cuda:0')"
"tensor(3.7946, device='cuda:0')","tensor(-2.8237, device='cuda:0')","tensor(0.6457, device='cuda:0')"
"tensor(4.9230, device='cuda:0')","tensor(-3.5325, device='cuda:0')","tensor(0.1216, device='cuda:0')"
"tensor(3.6631, device='cuda:0')","tensor(-2.4151, device='cuda:0')","tensor(-0.0517, device='cuda:0')"
"tensor(5.7261, device='cuda:0')","tensor(-3.9184, device='cuda:0')","tensor(-0.7051, device='cuda:0')"
"tensor(3.5782, device='cuda:0')","tensor(-2.2808, device='cuda:0')","tensor(-0.3152, device='cuda:0')"
"tensor(3.8942, device='cuda:0')","tensor(-3.2130, device='cuda:0')","tensor(1.0796, device='cuda:0')"
"tensor(3.9454, device='cuda:0')","tensor(-2.9278, device='cuda:0')","tensor(0.5715, device='cuda:0')"
"tensor(4.1658, device='cuda:0')","tensor(-3.2919, device='cuda:0')","tensor(0.8239, device='cuda:0')"
"tensor(3.3540, device='cuda:0')","tensor(-1.6612, device='cuda:0')","tensor(-1.1420, device='cuda:0')"
"tensor(2.4691, device='cuda:0')","tensor(-1.6759, device='cuda:0')","tensor(0.2265, device='cuda:0')"
"tensor(5.3915, device='cuda:0')","tensor(-4.0649, device='cuda:0')","tensor(0.4041, device='cuda:0')"
"tensor(-1.3567, device='cuda:0')","tensor(2.4991, device='cuda:0')","tensor(-1.9992, device='cuda:0')"
"tensor(3.7092, device='cuda:0')","tensor(-2.7220, device='cuda:0')","tensor(0.5211, device='cuda:0')"
"tensor(3.9595, device='cuda:0')","tensor(-2.8858, device='cuda:0')","tensor(0.4934, device='cuda:0')"
"tensor(3.6694, device='cuda:0')","tensor(-3.1668, device='cuda:0')","tensor(1.1851, device='cuda:0')"
"tensor(5.1292, device='cuda:0')","tensor(-3.4756, device='cuda:0')","tensor(-0.5349, device='cuda:0')"
"tensor(4.2632, device='cuda:0')","tensor(-3.4201, device='cuda:0')","tensor(0.7132, device='cuda:0')"
"tensor(4.8419, device='cuda:0')","tensor(-3.6177, device='cuda:0')","tensor(0.2574, device='cuda:0')"
"tensor(4.5531, device='cuda:0')","tensor(-3.3856, device='cuda:0')","tensor(0.3728, device='cuda:0')"
"tensor(2.3285, device='cuda:0')","tensor(-1.0005, device='cuda:0')","tensor(-0.4566, device='cuda:0')"
"tensor(4.6759, device='cuda:0')","tensor(-3.6593, device='cuda:0')","tensor(0.6801, device='cuda:0')"
"tensor(4.6993, device='cuda:0')","tensor(-3.6359, device='cuda:0')","tensor(0.6192, device='cuda:0')"
"tensor(3.5338, device='cuda:0')","tensor(-1.9470, device='cuda:0')","tensor(-0.6487, device='cuda:0')"
"tensor(4.9743, device='cuda:0')","tensor(-3.7110, device='cuda:0')","tensor(0.0646, device='cuda:0')"
"tensor(2.2201, device='cuda:0')","tensor(-1.7855, device='cuda:0')","tensor(0.9111, device='cuda:0')"
"tensor(4.2345, device='cuda:0')","tensor(-3.3399, device='cuda:0')","tensor(0.8051, device='cuda:0')"
"tensor(3.6434, device='cuda:0')","tensor(-2.7820, device='cuda:0')","tensor(0.6894, device='cuda:0')"
"tensor(5.6224, device='cuda:0')","tensor(-4.1546, device='cuda:0')","tensor(-0.0563, device='cuda:0')"
"tensor(4.7681, device='cuda:0')","tensor(-3.5929, device='cuda:0')","tensor(0.4676, device='cuda:0')"
"tensor(3.9587, device='cuda:0')","tensor(-2.8503, device='cuda:0')","tensor(0.6192, device='cuda:0')"
"tensor(5.0165, device='cuda:0')","tensor(-3.6269, device='cuda:0')","tensor(0.0412, device='cuda:0')"
"tensor(4.6426, device='cuda:0')","tensor(-3.6442, device='cuda:0')","tensor(0.7006, device='cuda:0')"
"tensor(3.3789, device='cuda:0')","tensor(-2.2080, device='cuda:0')","tensor(-0.1741, device='cuda:0')"
"tensor(3.1381, device='cuda:0')","tensor(-1.9593, device='cuda:0')","tensor(-0.2717, device='cuda:0')"
"tensor(4.2232, device='cuda:0')","tensor(-3.0828, device='cuda:0')","tensor(0.2995, device='cuda:0')"
"tensor(3.3353, device='cuda:0')","tensor(-1.7018, device='cuda:0')","tensor(-0.9773, device='cuda:0')"
"tensor(4.9256, device='cuda:0')","tensor(-3.4823, device='cuda:0')","tensor(-0.0008, device='cuda:0')"
"tensor(4.2514, device='cuda:0')","tensor(-3.2782, device='cuda:0')","tensor(0.6169, device='cuda:0')"
"tensor(4.1567, device='cuda:0')","tensor(-3.1592, device='cuda:0')","tensor(0.6227, device='cuda:0')"
"tensor(4.6030, device='cuda:0')","tensor(-3.3810, device='cuda:0')","tensor(0.2870, device='cuda:0')"
"tensor(2.7127, device='cuda:0')","tensor(-2.8667, device='cuda:0')","tensor(2.0337, device='cuda:0')"
"tensor(2.6173, device='cuda:0')","tensor(-1.3780, device='cuda:0')","tensor(-0.0023, device='cuda:0')"
"tensor(4.4198, device='cuda:0')","tensor(-3.2994, device='cuda:0')","tensor(0.3507, device='cuda:0')"
"tensor(3.9474, device='cuda:0')","tensor(-2.5807, device='cuda:0')","tensor(-0.0383, device='cuda:0')"
"tensor(3.2868, device='cuda:0')","tensor(-2.2017, device='cuda:0')","tensor(0.0681, device='cuda:0')"
"tensor(5.0869, device='cuda:0')","tensor(-3.6469, device='cuda:0')","tensor(0.0464, device='cuda:0')"
"tensor(4.2182, device='cuda:0')","tensor(-3.2056, device='cuda:0')","tensor(0.4564, device='cuda:0')"
"tensor(0.4572, device='cuda:0')","tensor(-1.0190, device='cuda:0')","tensor(2.3376, device='cuda:0')"
"tensor(4.4642, device='cuda:0')","tensor(-3.4381, device='cuda:0')","tensor(0.4930, device='cuda:0')"
"tensor(4.9233, device='cuda:0')","tensor(-3.6713, device='cuda:0')","tensor(0.3182, device='cuda:0')"
"tensor(-4.2924, device='cuda:0')","tensor(4.5048, device='cuda:0')","tensor(-0.9705, device='cuda:0')"
"tensor(4.9989, device='cuda:0')","tensor(-3.3636, device='cuda:0')","tensor(-0.4117, device='cuda:0')"
"tensor(2.9558, device='cuda:0')","tensor(-2.6038, device='cuda:0')","tensor(1.4101, device='cuda:0')"
"tensor(5.5575, device='cuda:0')","tensor(-4.0093, device='cuda:0')","tensor(-0.1737, device='cuda:0')"
"tensor(3.5412, device='cuda:0')","tensor(-3.0278, device='cuda:0')","tensor(1.1153, device='cuda:0')"
"tensor(3.5360, device='cuda:0')","tensor(-2.6569, device='cuda:0')","tensor(0.6898, device='cuda:0')"
"tensor(3.8055, device='cuda:0')","tensor(-3.0065, device='cuda:0')","tensor(0.8152, device='cuda:0')"
"tensor(2.6301, device='cuda:0')","tensor(-2.2986, device='cuda:0')","tensor(1.3968, device='cuda:0')"
"tensor(3.9458, device='cuda:0')","tensor(-3.3116, device='cuda:0')","tensor(1.0413, device='cuda:0')"
"tensor(4.7982, device='cuda:0')","tensor(-3.4614, device='cuda:0')","tensor(0.2034, device='cuda:0')"
"tensor(3.7992, device='cuda:0')","tensor(-2.5246, device='cuda:0')","tensor(-0.2446, device='cuda:0')"
"tensor(4.5252, device='cuda:0')","tensor(-3.1543, device='cuda:0')","tensor(0.0884, device='cuda:0')"
"tensor(4.9236, device='cuda:0')","tensor(-3.5840, device='cuda:0')","tensor(0.2163, device='cuda:0')"
"tensor(3.9801, device='cuda:0')","tensor(-2.9791, device='cuda:0')","tensor(0.4595, device='cuda:0')"
"tensor(0.8186, device='cuda:0')","tensor(-0.0963, device='cuda:0')","tensor(-0.2272, device='cuda:0')"
"tensor(3.7986, device='cuda:0')","tensor(-3.1672, device='cuda:0')","tensor(1.1463, device='cuda:0')"
"tensor(4.4397, device='cuda:0')","tensor(-3.4111, device='cuda:0')","tensor(0.6066, device='cuda:0')"
"tensor(0.1089, device='cuda:0')","tensor(0.8775, device='cuda:0')","tensor(-0.6181, device='cuda:0')"
"tensor(4.1533, device='cuda:0')","tensor(-3.0563, device='cuda:0')","tensor(0.3665, device='cuda:0')"
"tensor(-1.6898, device='cuda:0')","tensor(1.7789, device='cuda:0')","tensor(0.7727, device='cuda:0')"
"tensor(0.8758, device='cuda:0')","tensor(0.2218, device='cuda:0')","tensor(-1.0658, device='cuda:0')"
"tensor(4.7009, device='cuda:0')","tensor(-3.7746, device='cuda:0')","tensor(0.5400, device='cuda:0')"
"tensor(5.0464, device='cuda:0')","tensor(-3.2646, device='cuda:0')","tensor(-0.3658, device='cuda:0')"
"tensor(4.5694, device='cuda:0')","tensor(-3.4303, device='cuda:0')","tensor(0.3107, device='cuda:0')"
"tensor(4.1662, device='cuda:0')","tensor(-3.1933, device='cuda:0')","tensor(0.6456, device='cuda:0')"
"tensor(5.2835, device='cuda:0')","tensor(-3.9907, device='cuda:0')","tensor(0.2566, device='cuda:0')"
"tensor(-4.5586, device='cuda:0')","tensor(4.5815, device='cuda:0')","tensor(-0.7857, device='cuda:0')"
"tensor(3.9265, device='cuda:0')","tensor(-3.0752, device='cuda:0')","tensor(0.7538, device='cuda:0')"
"tensor(3.2784, device='cuda:0')","tensor(-3.0593, device='cuda:0')","tensor(1.6650, device='cuda:0')"
"tensor(4.8538, device='cuda:0')","tensor(-3.5188, device='cuda:0')","tensor(-0.0551, device='cuda:0')"
"tensor(4.0968, device='cuda:0')","tensor(-3.2323, device='cuda:0')","tensor(0.8113, device='cuda:0')"
"tensor(0.0782, device='cuda:0')","tensor(0.7741, device='cuda:0')","tensor(0.0504, device='cuda:0')"
"tensor(3.2650, device='cuda:0')","tensor(-2.6542, device='cuda:0')","tensor(1.0288, device='cuda:0')"
"tensor(5.1140, device='cuda:0')","tensor(-4.0557, device='cuda:0')","tensor(0.7256, device='cuda:0')"
"tensor(6.2111, device='cuda:0')","tensor(-4.0421, device='cuda:0')","tensor(-1.1366, device='cuda:0')"
"tensor(5.0400, device='cuda:0')","tensor(-3.7914, device='cuda:0')","tensor(0.2502, device='cuda:0')"
"tensor(4.5816, device='cuda:0')","tensor(-3.4584, device='cuda:0')","tensor(0.5098, device='cuda:0')"
"tensor(5.2281, device='cuda:0')","tensor(-3.7941, device='cuda:0')","tensor(-0.0445, device='cuda:0')"
"tensor(2.9005, device='cuda:0')","tensor(-2.5725, device='cuda:0')","tensor(1.3729, device='cuda:0')"
"tensor(-0.3529, device='cuda:0')","tensor(-0.8211, device='cuda:0')","tensor(2.6934, device='cuda:0')"
"tensor(4.2326, device='cuda:0')","tensor(-2.3193, device='cuda:0')","tensor(-1.2581, device='cuda:0')"
"tensor(3.8205, device='cuda:0')","tensor(-3.1236, device='cuda:0')","tensor(1.0267, device='cuda:0')"
"tensor(4.3060, device='cuda:0')","tensor(-3.8713, device='cuda:0')","tensor(1.1774, device='cuda:0')"
"tensor(3.6552, device='cuda:0')","tensor(-3.0916, device='cuda:0')","tensor(1.2561, device='cuda:0')"
"tensor(3.7808, device='cuda:0')","tensor(-3.3205, device='cuda:0')","tensor(1.3283, device='cuda:0')"
"tensor(5.3569, device='cuda:0')","tensor(-3.9712, device='cuda:0')","tensor(0.1958, device='cuda:0')"
"tensor(5.0492, device='cuda:0')","tensor(-3.6835, device='cuda:0')","tensor(0.1003, device='cuda:0')"
"tensor(4.9518, device='cuda:0')","tensor(-3.5729, device='cuda:0')","tensor(0.1577, device='cuda:0')"
"tensor(4.4232, device='cuda:0')","tensor(-3.2850, device='cuda:0')","tensor(0.4589, device='cuda:0')"
"tensor(7.1655, device='cuda:0')","tensor(-5.6462, device='cuda:0')","tensor(0.3479, device='cuda:0')"
"tensor(3.9016, device='cuda:0')","tensor(-3.3301, device='cuda:0')","tensor(1.1170, device='cuda:0')"
"tensor(3.1252, device='cuda:0')","tensor(-3.1775, device='cuda:0')","tensor(1.9867, device='cuda:0')"
"tensor(3.6640, device='cuda:0')","tensor(-3.0499, device='cuda:0')","tensor(1.1532, device='cuda:0')"
"tensor(5.3160, device='cuda:0')","tensor(-3.1851, device='cuda:0')","tensor(-1.3409, device='cuda:0')"
"tensor(4.5177, device='cuda:0')","tensor(-3.2108, device='cuda:0')","tensor(-0.0243, device='cuda:0')"
"tensor(4.9540, device='cuda:0')","tensor(-3.6289, device='cuda:0')","tensor(0.2104, device='cuda:0')"
"tensor(5.4470, device='cuda:0')","tensor(-3.9712, device='cuda:0')","tensor(-0.0026, device='cuda:0')"
"tensor(2.4122, device='cuda:0')","tensor(-2.1772, device='cuda:0')","tensor(1.3264, device='cuda:0')"
"tensor(4.1847, device='cuda:0')","tensor(-3.3697, device='cuda:0')","tensor(0.8476, device='cuda:0')"
"tensor(5.5360, device='cuda:0')","tensor(-3.9468, device='cuda:0')","tensor(-0.2656, device='cuda:0')"
"tensor(2.3438, device='cuda:0')","tensor(-2.0390, device='cuda:0')","tensor(1.2023, device='cuda:0')"
"tensor(3.6439, device='cuda:0')","tensor(-2.3696, device='cuda:0')","tensor(-0.3355, device='cuda:0')"
